Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767854748,130,POST,ml-image-processing-create,58.200000,0.000000,460,720,910,1100,1400,1900,2200,2300,2400,2400,2400,763,0,520.0,708.7502112864794,83.56947312131524,2431.305055040866,50.0
1767854748,130,E2E,ml-image-processing-e2e,61.000000,2.800000,960,1200,1400,1500,2200,2800,4300,4600,4800,4800,4800,741,28,1000.0,1260.8140305705197,397.3643919453025,4794.237052090466,0.0
1767854748,130,,Aggregated,119.200000,2.800000,800,1000,1200,1300,1900,2300,3000,4300,4800,4800,4800,1504,28,810.0,980.7444201225658,83.56947312131524,4794.237052090466,25.3656914893617
1767854749,130,POST,ml-image-processing-create,59.300000,0.000000,450,720,870,1000,1400,1900,2200,2300,2400,2400,2400,815,0,510.0,702.8051570520673,83.56947312131524,2431.305055040866,50.0
1767854749,130,E2E,ml-image-processing-e2e,62.400000,2.800000,940,1200,1300,1500,2100,2700,4300,4600,4800,4800,4800,792,28,980.0,1243.0169698382456,397.3643919453025,4794.237052090466,0.0
1767854749,130,,Aggregated,121.700000,2.800000,790,1000,1200,1300,1800,2200,2900,4300,4800,4800,4800,1607,28,800.0,969.0452041750624,83.56947312131524,4794.237052090466,25.35780958307405
1767854750,130,POST,ml-image-processing-create,59.300000,0.000000,450,720,870,1000,1400,1900,2200,2300,2400,2400,2400,815,0,510.0,702.8051570520673,83.56947312131524,2431.305055040866,50.0
1767854750,130,E2E,ml-image-processing-e2e,62.400000,2.800000,940,1200,1300,1500,2100,2700,4300,4600,4800,4800,4800,792,28,980.0,1243.0169698382456,397.3643919453025,4794.237052090466,0.0
1767854750,130,,Aggregated,121.700000,2.800000,790,1000,1200,1300,1800,2200,2900,4300,4800,4800,4800,1607,28,800.0,969.0452041750624,83.56947312131524,4794.237052090466,25.35780958307405
1767854751,130,POST,ml-image-processing-create,61.200000,0.000000,480,720,880,1000,1400,1700,2100,2200,2400,2400,2400,955,0,500.0,694.4189529900112,83.56947312131524,2439.953065942973,50.0
1767854751,130,E2E,ml-image-processing-e2e,62.100000,0.400000,890,1100,1200,1300,1600,1900,2200,2300,2700,2700,2700,929,28,950.0,1210.3835938195623,397.3643919453025,4794.237052090466,0.0
1767854751,130,,Aggregated,123.300000,0.400000,790,940,1100,1200,1500,1800,2200,2300,2400,2700,2700,1884,28,800.0,948.84100783643,83.56947312131524,4794.237052090466,25.345010615711253
1767854752,130,POST,ml-image-processing-create,61.800000,0.000000,490,730,900,1000,1400,1800,2200,2200,2400,2400,2400,999,0,500.0,701.2040482198183,83.56947312131524,2439.953065942973,50.0
1767854752,130,E2E,ml-image-processing-e2e,63.000000,0.400000,890,1100,1200,1300,1600,2000,2200,2300,2700,2700,2700,977,28,950.0,1207.2589706806818,397.3643919453025,4794.237052090466,0.0
1767854752,130,,Aggregated,124.800000,0.400000,790,950,1100,1200,1500,1900,2200,2300,2400,2700,2700,1976,28,800.0,951.4144020883729,83.56947312131524,4794.237052090466,25.27834008097166
1767854753,130,POST,ml-image-processing-create,61.800000,0.000000,490,730,900,1000,1400,1800,2200,2200,2400,2400,2400,999,0,500.0,701.2040482198183,83.56947312131524,2439.953065942973,50.0
1767854753,130,E2E,ml-image-processing-e2e,63.000000,0.400000,890,1100,1200,1300,1600,2000,2200,2300,2700,2700,2700,977,28,950.0,1207.2589706806818,397.3643919453025,4794.237052090466,0.0
