x_last_hour,x_start_hour,predicted,mc_mean,mc_std,target,error_pct_baseline,error_pct_mcmean,p01,p05,p10,p50,p90,p95,p99,comp_bulk_rate,comp_pos_rate,comp_neg_rate,r_mean,r_abs_mean,batch_id,batch_cov90,batch_cov98
52.61666,34.35,41.77939,66.71446,42.068443,30.199997,38.34236,120.90883,0.18961671,23.60585,31.155472,51.973877,125.10884,156.83453,213.18738,0.6059,0.35689998,0.0372,24.837122,30.86663,0,0.7307692170143127,0.8557692170143127
30.199997,18.266663,30.504265,56.576385,42.61329,17.949997,69.94022,215.18884,0.0,12.46534,20.139,41.194786,116.5252,147.65443,207.27196,0.5969,0.36679998,0.0363,25.820406,31.687737,0,0.7307692170143127,0.8557692170143127
17.949997,12.016663,18.468872,45.035698,42.725567,12.366661,49.344048,264.17023,0.0,0.4299469,7.8449554,28.925674,104.8084,136.15892,194.6874,0.59779996,0.3642,0.038,25.929691,31.916922,0,0.7307692170143127,0.8557692170143127
12.366661,8.833328,13.514412,39.68455,41.55436,8.46666,59.61917,368.71558,0.0,0.0,2.8002243,24.081566,97.211296,128.57314,187.64703,0.6003,0.3618,0.0379,25.22952,31.253809,0,0.7307692170143127,0.8557692170143127
8.46666,14.48333,18.374146,45.07013,42.265987,8.799995,108.79722,412.16083,0.0,0.1977539,7.921295,29.081926,105.0362,133.67932,194.11081,0.5962,0.3644,0.0394,26.029177,32.030575,0,0.7307692170143127,0.8557692170143127
8.799995,24.416664,26.4628,52.5519,42.291317,21.849998,21.111217,140.51215,0.0,8.423874,15.748611,37.15332,112.03503,141.44107,200.2237,0.5963,0.3664,0.037299998,25.735683,31.731112,0,0.7307692170143127,0.8557692170143127
21.849998,47.85,38.38082,63.990173,42.31365,70.8,45.789803,9.618403,0.0,20.207283,28.015556,48.57531,124.16116,152.29745,208.62007,0.5949,0.36499998,0.0401,25.473185,31.473137,0,0.7307692170143127,0.8557692170143127
70.8,74.36667,72.98779,98.3264,42.608845,122.11667,40.2311,19.481588,33.60274,54.948868,62.534943,83.444595,156.69835,186.96487,247.27785,0.6058,0.359,0.0352,25.33784,31.251259,0,0.7307692170143127,0.8557692170143127
122.11667,132.06667,125.86366,151.37169,42.76806,143.81667,12.483256,5.253232,86.73834,108.7798,115.84236,136.03693,211.82524,241.25613,298.5287,0.6059,0.3583,0.0358,25.508034,31.20968,0,0.7307692170143127,0.8557692170143127
143.81667,159.94916,148.85515,174.97813,43.498795,168.28333,11.544921,3.978296,105.473404,130.67876,138.14082,159.4223,236.70505,264.7451,322.84875,0.5869,0.37309998,0.04,26.122988,32.32491,0,0.7307692170143127,0.8557692170143127
168.28333,165.55,178.70398,204.17412,42.31011,178.26666,0.24531615,14.532979,138.4522,160.66505,168.25113,189.3945,263.69476,293.18008,347.95102,0.59999996,0.3642,0.0358,25.470137,31.34795,0,0.7307692170143127,0.8557692170143127
178.26666,171.6,176.66891,202.00629,42.408417,182.72223,3.3128505,10.553756,136.35078,158.49538,165.93259,187.1809,261.47427,290.42142,346.93744,0.5985,0.3638,0.037699997,25.337362,31.435875,0,0.7307692170143127,0.8557692170143127
182.72223,174.28334,187.39847,212.92125,42.16857,162.78333,15.121415,30.800406,147.02171,169.35954,177.0332,197.85527,272.40506,299.2876,357.98175,0.59569997,0.3667,0.0376,25.522783,31.406837,0,0.7307692170143127,0.8557692170143127
162.78333,177.63333,177.34944,202.77103,42.460766,116.51666,52.209507,74.02749,137.74281,159.1759,166.63525,187.55435,262.45297,291.18326,349.05728,0.6048,0.3584,0.0368,25.421593,31.332474,0,0.7307692170143127,0.8557692170143127
116.51666,175.7,165.9634,191.3198,42.779427,89.066666,86.33615,114.80516,124.607185,148.77148,155.24919,176.08983,252.47719,282.0333,339.2403,0.6001,0.363,0.0369,25.35643,31.335835,0,0.7307692170143127,0.8557692170143127
89.066666,183.18965,158.24727,183.95023,43.01406,65.75,140.68025,179.77222,116.912285,140.07373,147.79442,168.44696,243.67453,274.82642,335.10413,0.5929,0.368,0.0391,25.702948,31.78994,0,0.7307692170143127,0.8557692170143127
65.75,147.73334,147.95454,174.26825,43.651527,55.86666,164.83513,211.93605,107.646194,130.63786,137.33063,158.78926,236.12457,267.5948,323.16992,0.5977,0.3655,0.0368,26.313719,32.208714,0,0.7307692170143127,0.8557692170143127
55.86666,129.91667,153.53157,178.51486,42.063168,52.916664,190.13841,237.35094,109.89908,135.34155,143.07872,163.70483,237.77353,265.042,322.59964,0.5977,0.3626,0.039699998,24.98329,31.116617,0,0.7307692170143127,0.8557692170143127
52.916664,158.0,171.9041,197.2033,42.60295,54.649994,214.55464,260.84778,130.3108,153.85844,161.53883,182.47125,257.14224,287.29443,342.2081,0.5981,0.3638,0.0381,25.2992,31.294374,0,0.7307692170143127,0.8557692170143127
54.649994,164.68333,173.44946,198.91653,42.93793,58.68333,195.56854,238.96599,133.16957,156.17079,162.82555,183.59262,259.56787,290.44092,346.365,0.6117,0.3525,0.0358,25.467066,31.395947,0,0.7307692170143127,0.8557692170143127
58.68333,148.21667,152.47415,177.89531,42.322777,55.049995,176.97397,223.15228,111.71127,134.43523,141.85023,163.30887,237.86429,266.4988,319.8972,0.5947,0.36699998,0.0383,25.421167,31.431868,0,0.7307692170143127,0.8557692170143127
55.049995,140.4,113.127205,138.91594,43.06822,42.283325,167.54567,228.53598,72.17478,96.04334,102.76194,123.69436,199.14964,229.24286,288.7755,0.601,0.3651,0.0339,25.788744,31.668211,0,0.7307692170143127,0.8557692170143127
42.283325,94.85,83.27662,109.08281,43.14814,25.383331,228.076,329.7419,42.239338,65.230965,73.1141,93.9092,169.24283,200.31053,261.05994,0.603,0.3597,0.037299998,25.806187,31.6223,0,0.7307692170143127,0.8557692170143127
25.383331,52.61666,46.172516,71.46354,42.54622,13.216667,249.35066,440.70773,8.894496,28.13359,36.00083,56.33239,131.50787,160.3145,222.35736,0.6085,0.3557,0.0358,25.254776,30.985518,0,0.7307692170143127,0.8557692170143127
13.216667,30.199997,29.708542,55.093,41.94323,6.699997,343.4113,722.28394,0.0,11.669617,19.084625,39.868416,113.58624,142.87564,198.92549,0.603,0.36139998,0.0356,25.125408,31.091822,0,0.7307692170143127,0.8557692170143127
