hour,hour_invocation,hour_of_day,day_of_week
3863,123.56666666666666,23,6
3864,92.45,0,0
3865,60.11666666666667,1,0
3866,59.55,2,0
3867,33.4,3,0
3868,30.15,4,0
3869,27.533333333333335,5,0
3870,31.533333333333335,6,0
3871,46.06666666666667,7,0
3872,66.6,8,0
3873,75.01666666666667,9,0
3874,161.9,10,0
3875,173.66666666666666,11,0
3876,155.8,12,0
3877,160.65,13,0
3878,131.68333333333334,14,0
3879,115.21666666666667,15,0
3880,101.85,16,0
3881,87.41666666666667,17,0
3882,102.66666666666667,18,0
3883,86.45,19,0
3884,71.43333333333334,20,0
3885,62.333333333333336,21,0
3886,53.233333333333334,22,0
3887,57.35,23,0
3888,40.78333333333333,0,1
3889,32.55,1,1
3890,22.9,2,1
3891,29.716666666666665,3,1
3892,33.916666666666664,4,1
3893,34.25,5,1
3894,28.65,6,1
3895,45.86666666666667,7,1
3896,60.7,8,1
3897,76.26666666666667,9,1
3898,146.31666666666666,10,1
3899,163.18333333333334,11,1
3900,203.78333333333333,12,1
3901,162.46666666666667,13,1
3902,131.15,14,1
3903,153.35,15,1
3904,145.65,16,1
3905,118.4,17,1
3906,106.38333333333334,18,1
3907,107.13333333333334,19,1
3908,101.81666666666666,20,1
3909,88.61666666666666,21,1
3910,75.9,22,1
3911,86.21666666666667,23,1
3912,42.1,0,2
3913,34.2,1,2
3914,26.55,2,2
3915,26.866666666666667,3,2
3916,27.966666666666665,4,2
3917,21.533333333333335,5,2
3918,25.116666666666667,6,2
3919,56.4,7,2
3920,65.33333333333333,8,2
3921,82.8,9,2
3922,175.13333333333333,10,2
3923,303.45,11,2
3924,274.6166666666667,12,2
3925,266.1166666666667,13,2
3926,234.11666666666667,14,2
3927,181.3,15,2
3928,192.2,16,2
3929,154.73333333333332,17,2
3930,119.7,18,2
3931,93.93333333333334,19,2
3932,116.93333333333334,20,2
3933,130.48333333333332,21,2
3934,92.3,22,2
3935,113.65,23,2
3936,78.05,0,3
3937,71.78333333333333,1,3
3938,34.55,2,3
3939,39.733333333333334,3,3
3940,25.566666666666666,4,3
3941,18.466666666666665,5,3
3942,34.93333333333333,6,3
3943,66.81666666666666,7,3
3944,251.86666666666667,8,3
3945,271.3333333333333,9,3
3946,312.6166666666667,10,3
3947,323.3333333333333,11,3
3948,315.06666666666666,12,3
3949,239.81666666666666,13,3
3950,261.05,14,3
3951,256.65,15,3
3952,285.23333333333335,16,3
3953,314.85,17,3
3954,298.8666666666667,18,3
3955,258.93333333333334,19,3
3956,244.83333333333334,20,3
3957,104.41666666666667,21,3
3958,72.66666666666667,22,3
3959,116.28333333333333,23,3
