x_last_hour,x_start_hour,predicted_raw,predicted_refined,target,ci_lo,ci_hi,error_rate_refined_%,n_resid_in_window,qhat_used,abs_resid_mean,abs_resid_max
219.0,167.0,219.26092529296875,218.9821319580078,236.0,157.98213958740234,280.9910888671875,7.210961034742453,15,58.878788757324216,31.708958435058594,61.73016357421875
18.00000762939453,37.0,18.27880096435547,22.00000762939453,16.00000762939453,-42.99998474121094,80.00896453857422,37.499982118615094,15,58.878788757324216,32.80631052652995,61.73016357421875
231.0,149.0,231.26904296875,234.99024963378906,198.0,169.9902572631836,292.99920654296875,18.681944259489423,15,58.878788757324216,30.810313415527343,61.73016357421875
176.0,229.0,176.26756286621094,173.98876953125,181.0,114.98877716064453,237.9977264404297,3.87360799378453,15,58.878788757324216,32.24683583577474,61.73016357421875
187.0,176.0,187.27879333496094,185.0,186.0,126.00000762939453,249.0089569091797,0.5376344086021506,15,58.878788757324216,31.914251200358073,61.73016357421875
82.0,102.0,82.27879333496094,80.0,42.0,21.00000762939453,144.0089569091797,90.47619047619048,15,58.878788757324216,28.6180903116862,61.73016357421875
155.0,195.0,151.9792938232422,149.70050048828125,172.0,96.70050048828125,213.70945739746094,12.9648252975109,15,52.66781311035156,27.2180908203125,61.73016357421875
164.0,213.0,164.27879333496094,163.0,224.0,109.0,226.0089569091797,27.232142857142854,15,52.66781311035156,26.52118428548177,61.73016357421875
122.0,158.0,124.4296646118164,123.15087127685547,126.0,69.15087127685547,186.15982818603516,2.2612132723369296,15,57.94424133300781,30.254517618815104,61.73016357421875
147.0,189.0,149.8273468017578,151.3976821899414,180.0,94.54855346679688,211.55751037597656,15.890176561143662,15,57.94424133300781,28.14062042236328,61.73016357421875
86.0,155.0,86.27879333496094,87.84912872314453,129.0,31.0,148.0089569091797,31.899900214616643,15,57.94424133300781,26.90204111735026,61.73016357421875
132.0,194.0,132.27879333496094,137.01123046875,100.0,87.0,194.0089569091797,37.01123046875,15,53.94424133300781,26.064868672688803,61.73016357421875
24.00000762939453,89.0,24.27874755859375,25.849082946777344,38.00000762939453,-21.000045776367188,86.0089111328125,31.976111165877658,15,53.94424133300781,26.356639099121093,61.73016357421875
150.0,152.0,150.25619506835938,151.82653045654297,169.0,104.97740173339844,209.97740173339844,10.161816297903568,15,44.255758666992186,23.156045532226564,59.72120666503906
168.0,191.0,168.2598419189453,172.99227905273438,159.0,127.98104858398438,227.98104858398438,8.800175504864386,15,41.744241333007814,21.38704630533854,59.72120666503906
194.0,258.0,194.27879333496094,199.01123046875,187.0,154.0,254.0,6.4231178977272725,15,41.744241333007814,21.785782877604166,59.72120666503906
26.0,62.0,26.278793334960938,27.84912872314453,35.0,-14.0,86.0,20.431060791015625,15,41.744241333007814,21.155097452799478,59.72120666503906
91.0,207.0,91.27445983886719,96.00689697265625,114.0,50.99566650390625,150.99566650390625,15.783423708196272,15,41.744241333007814,21.584591674804688,59.72120666503906
16.0,49.00000762939453,16.27880096435547,25.00000762939453,22.0,-23.99999237060547,76.00000762939453,13.636398315429688,15,41.744241333007814,20.88169148763021,59.72120666503906
114.0,151.0,114.27879333496094,123.0,106.0,74.0,174.0,16.037735849056602,15,41.744241333007814,20.947608947753906,59.72120666503906
200.0,224.0,200.27879333496094,209.0,159.0,160.0,260.0,31.446540880503143,15,41.744241333007814,21.41427561442057,59.72120666503906
203.0,178.0,203.22494506835938,211.94615173339844,183.0,161.94615173339844,262.94615173339844,15.81756925322319,15,42.14424133300781,21.48094228108724,59.72120666503906
87.0,39.00000762939453,87.27163696289062,92.99283599853516,98.0,45.99284362792969,146.9928436279297,5.109351021902902,15,42.14424133300781,21.49455820719401,59.72120666503906
149.0,225.0,149.27879333496094,154.99999237060547,96.0,108.0,192.0,61.45832538604736,15,37.678793334960936,18.2283686319987,42.72120666503906
67.0,100.0,68.07383728027344,73.79503631591797,69.0,14.7950439453125,110.7950439453125,6.949327994084014,15,42.14424133300781,21.675599161783854,53.27879333496094
220.0,131.0,220.29400634765625,221.2201690673828,155.0,167.0152130126953,263.0152130126953,42.722689720892134,15,42.14424133300781,19.725833129882812,53.27879333496094
87.0,30.0,87.557373046875,80.27857971191406,128.0,22.26336669921875,110.28291320800781,37.28235960006714,15,48.47879333496093,21.23068644205729,65.29400634765625
213.0,187.0,213.27877807617188,214.20494079589844,144.0,147.98477172851562,253.72140502929688,48.7534311082628,15,48.47879333496093,21.774942016601564,65.29400634765625
126.0,118.0,126.27879333496094,127.2049560546875,118.0,57.00001525878906,166.72142028808594,7.800810215836865,15,60.487921142578124,25.47877655029297,69.27877807617188
97.0,197.0,97.25621032714844,88.9774169921875,104.0,27.977432250976562,137.69883728027344,14.444791353665865,15,60.487921142578124,24.781109110514322,69.27877807617188
57.0,136.0,57.27879333496094,50.0,65.0,-11.999984741210938,97.72142028808594,23.076923076923077,15,60.487921142578124,24.61337229410807,69.27877807617188
213.0,79.0,213.2683868408203,214.19454956054688,204.0,143.98960876464844,253.7110137939453,4.997328215954351,15,60.487921142578124,24.64286651611328,69.27877807617188
133.0,96.0,133.26705932617188,124.98826599121094,126.0,63.98828125,173.70968627929688,0.8029634990389384,15,60.487921142578124,24.679345194498698,69.27877807617188
140.0,116.0,140.260498046875,131.98170471191406,109.0,70.98171997070312,180.703125,21.084132763223913,15,60.487921142578124,23.648779805501302,69.27877807617188
