x_last_hour,x_start_hour,predicted,target,error_rates
70.44302,75.23511,73.71202,92.02471,19.899754
92.02471,72.71594,74.73953,101.03433,26.025608
101.03433,73.963905,72.36015,97.17914,25.539415
97.17914,66.704544,70.43292,86.397064,18.477644
86.397064,66.25668,70.78088,85.82219,17.526127
85.82219,74.72594,73.87036,95.205605,22.40965
95.205605,83.57459,78.04412,87.50668,10.813531
87.50668,78.55615,83.99138,84.612305,0.7338482
84.612305,74.99309,89.51503,84.92647,5.402982
84.92647,80.42781,98.360825,90.27406,8.958012
90.27406,96.1631,108.67896,102.09893,6.4447613
102.09893,97.33957,110.53876,93.917114,17.698204
93.917114,81.6377,103.83525,94.24466,10.1762705
94.24466,68.382355,88.75484,73.34893,21.003588
73.34893,51.149734,65.28265,55.22059,18.221582
55.22059,40.16043,49.52483,38.161766,29.776043
38.161766,22.934494,29.916721,18.529415,61.45529
18.529415,11.504017,15.429905,10.207222,51.166546
10.207222,7.1256714,9.298347,7.573532,22.774254
7.573532,7.3128357,8.527378,5.728615,48.855846
5.728615,7.8609657,10.947475,5.9692535,83.39773
5.9692535,16.584229,20.089046,13.001343,54.515163
13.001343,34.946526,46.15724,36.370323,26.909077
36.370323,70.44302,68.540405,58.877007,16.412857
58.877007,92.02471,86.68567,79.37166,9.21489
79.37166,101.03433,98.76188,85.1423,15.996249
85.1423,97.17914,100.166145,85.93583,16.559237
85.93583,86.397064,100.28669,85.51471,17.274199
85.51471,85.82219,100.87261,83.74332,20.454523
83.74332,95.205605,101.07506,86.61096,16.700075
86.61096,87.50668,100.98926,89.621445,12.684256
89.621445,84.612305,100.94569,89.786095,12.429087
89.786095,84.92647,100.20384,92.51337,8.312826
92.51337,90.27406,100.002304,82.83423,20.725822
82.83423,102.09893,101.87523,89.66578,13.616621
89.66578,93.917114,103.102806,89.518715,15.1745825
89.518715,94.24466,98.279495,83.64305,17.498697
83.64305,73.34893,81.8958,74.01738,10.6440115
74.01738,55.22059,62.125824,54.498665,13.995131
54.498665,38.161766,43.105503,33.556152,28.457823
33.556152,18.529415,25.71323,21.744656,18.250803
21.744656,10.207222,14.485531,12.733959,13.755122
12.733959,7.573532,9.705261,6.798134,42.763607
6.798134,5.728615,6.893894,9.151073,24.665733
9.151073,5.9692535,6.5705757,8.803482,25.3639
8.803482,13.001343,10.620605,9.538773,11.341427
9.538773,36.370323,30.363518,28.094923,8.07475
28.094923,58.877007,52.846916,54.2246,2.540702
54.2246,79.37166,71.90207,70.347595,2.2097044
70.347595,85.1423,89.46405,84.12434,6.3474073
84.12434,85.93583,92.04231,80.26738,14.669636
80.26738,85.51471,92.452965,80.1738,15.315686
80.1738,83.74332,90.789734,85.300804,6.4347925
85.300804,86.61096,89.85357,88.19519,1.8803504
88.19519,89.621445,88.6911,91.43048,2.9961343
91.43048,89.786095,88.23947,88.26203,0.02556039
88.26203,92.51337,88.42873,81.45722,8.558485
81.45722,82.83423,88.66835,84.11096,5.418305
84.11096,89.66578,90.70593,90.15375,0.6124926
90.15375,89.518715,91.63516,74.58556,22.859114
74.58556,83.64305,86.60271,71.751335,20.698391
71.751335,74.01738,71.97759,61.417114,17.194683
61.417114,54.498665,54.872395,42.372997,29.498497
42.372997,33.556152,35.45424,28.9238,22.578083
28.9238,21.744656,20.983887,15.875671,32.176373
15.875671,12.733959,11.82629,10.855618,8.941662
10.855618,6.798134,6.592041,10.11364,34.82029
10.11364,9.151073,5.4606285,4.5454597,20.13369
4.5454597,8.803482,5.3154907,5.5748672,4.6526046
5.5748672,9.538773,10.875969,14.070858,22.705715
14.070858,28.094923,26.583195,39.144386,32.089382
39.144386,54.2246,48.295834,76.397064,36.78313
76.397064,70.347595,56.20062,91.79652,38.77696
91.79652,84.12434,65.215454,92.20589,29.27192
92.20589,80.26738,64.42699,90.29169,28.645716
90.29169,80.1738,65.26429,74.49198,12.387496
74.49198,85.300804,65.553474,77.87433,15.821459
77.87433,88.19519,66.34765,95.661766,30.643505
95.661766,91.43048,67.21582,93.65642,28.231483
93.65642,88.26203,68.92006,84.42513,18.36547
84.42513,81.45722,72.54449,86.14005,15.783093
86.14005,84.11096,79.65813,85.635025,6.979502
85.635025,90.15375,86.59592,93.17513,7.061128
93.17513,74.58556,85.88136,90.614975,5.223874
90.614975,71.751335,77.84793,80.60161,3.416405
80.60161,61.417114,62.66018,69.81952,10.254066
69.81952,42.372997,47.41863,50.568184,6.2283335
50.568184,28.9238,30.19352,27.279411,10.682446
27.279411,15.875671,17.031078,14.344925,18.725462
14.344925,10.855618,10.45348,13.168453,20.617254
13.168453,10.11364,5.8905487,8.375675,29.67076
8.375675,4.5454597,4.601818,5.1470604,10.593276
5.1470604,5.5748672,9.862438,8.495991,16.083439
8.495991,14.070858,20.382828,16.383694,24.409233
16.383694,39.144386,43.325104,37.486633,15.574805
37.486633,76.397064,61.707752,68.8369,10.356578
68.8369,91.79652,73.34598,84.98663,13.697043
84.98663,92.20589,71.988655,89.57887,19.63657
89.57887,90.29169,69.86181,79.02453,11.594779
79.02453,74.49198,68.066666,71.016045,4.153116
71.016045,77.87433,68.226006,76.50401,10.820357
76.50401,95.661766,69.07742,89.56766,22.876823
89.56766,93.65642,69.20134,90.14706,23.235052
90.14706,84.42513,69.000916,84.03743,17.89264
84.03743,86.14005,70.93878,81.05826,12.484201
81.05826,85.635025,79.669304,73.95722,7.7234945
73.95722,93.17513,91.239624,86.7246,5.206161
86.7246,90.614975,94.90399,89.67246,5.834042
89.67246,80.60161,86.83762,81.96524,5.9444504
81.96524,69.81952,71.14512,65.614975,8.428173
65.614975,50.568184,48.747704,39.725937,22.710016
39.725937,27.279411,30.343712,28.930485,4.8849063
28.930485,14.344925,16.727047,14.705887,13.743885
14.705887,13.168453,10.900883,12.586903,13.395034
12.586903,8.375675,6.5025215,12.058826,46.076664
12.058826,5.1470604,5.782963,4.090912,41.361217
4.090912,8.495991,9.953716,5.233963,90.175514
5.233963,16.383694,22.234222,16.196526,37.27773
16.196526,37.486633,44.32531,38.16845,16.130758
38.16845,68.8369,64.73152,63.75,1.5396417
63.75,84.98663,74.376755,77.68048,4.2529683
77.68048,89.57887,79.44193,97.840576,18.804718
97.840576,79.02453,72.69536,84.95989,14.435676
84.95989,71.016045,71.27892,75.15375,5.1558633
75.15375,76.50401,71.91638,75.54144,4.798771
75.54144,89.56766,72.70598,87.19524,16.61703
87.19524,90.14706,72.96234,93.1501,21.672289
93.1501,84.03743,72.869354,91.86531,20.678053
91.86531,81.05826,77.81147,128.51605,39.45389
128.51605,73.95722,84.70397,127.89455,33.77046
127.89455,86.7246,93.212006,128.23584,27.31205
128.23584,89.67246,95.98861,119.852936,19.91134
119.852936,81.96524,88.092606,105.635025,16.606632
105.635025,65.614975,70.917366,82.89439,14.448529
82.89439,39.725937,47.65755,48.963905,2.667995
48.963905,28.930485,32.15497,34.077545,5.6417704
34.077545,14.705887,19.831993,16.156422,22.74991
16.156422,12.586903,11.655342,9.050808,28.776814
9.050808,12.058826,7.422386,6.7179184,10.4864
6.7179184,4.090912,5.6221924,5.6283455,0.10932355
