idx,x_last_hour,x_start_hour,point_pred,pred_refined,target,ci_lower,ci_upper,error_rate_refined_pct
153,39.144386,54.2246,48.295834,60.857025,76.397064,51.490723,60.857025,20.341148
154,76.397064,70.347595,56.20062,84.30185,91.79652,68.76181,84.30185,8.164434
155,91.79652,84.12434,65.215454,93.31668,92.20589,93.31668,100.81135,1.2046888
156,92.20589,80.26738,64.42699,91.41742,90.29169,91.41742,100.02289,1.2467731
157,90.29169,80.1738,65.26429,91.12899,74.49198,91.12899,92.25472,22.33396
158,74.49198,85.300804,65.553474,74.781166,77.87433,74.781166,91.418175,3.9719925
159,77.87433,88.19519,66.34765,78.6685,95.661766,75.57534,78.6685,17.763903
160,95.661766,91.43048,67.21582,79.536674,93.65642,79.536674,96.52994,15.076108
161,93.65642,88.26203,68.92006,95.36066,84.42513,95.36066,98.23418,12.952926
162,84.42513,81.45722,72.54449,88.04956,86.14005,88.04956,98.985085,2.2167478
163,86.14005,84.11096,79.65813,93.25369,85.635025,93.25369,95.1632,8.896673
164,85.635025,90.15375,86.59592,92.572815,93.17513,92.572815,100.19148,0.6464362
165,93.17513,74.58556,85.88136,91.85826,90.614975,91.85826,92.46058,1.3720537
166,90.614975,71.751335,77.84793,82.58154,80.60161,82.58154,84.42715,2.4564457
167,80.60161,61.417114,62.66018,65.41386,69.81952,65.41386,67.39379,6.3100724
168,69.81952,42.372997,47.41863,50.17231,50.568184,50.172306,54.57797,0.782852
169,50.568184,28.9238,30.19352,37.35286,27.279411,33.343075,37.35286,36.926926
170,27.279411,15.875671,17.031078,14.116972,14.344925,14.116969,20.180635,1.5890844
171,14.344925,10.855618,10.45348,7.7673244,13.168453,7.53937,7.767328,41.015667
172,13.168453,10.11364,5.8905487,8.60552,8.375675,3.204394,8.605524,2.7441974
173,8.375675,4.5454597,4.601818,7.086947,5.1470604,7.0869436,7.316793,37.689213
174,5.1470604,5.5748672,9.862438,10.407681,8.495991,10.40768,12.347566,22.501091
175,8.495991,14.070858,20.382828,19.016382,16.383694,19.016378,20.92807,16.068956
176,16.383694,39.144386,43.325104,39.32597,37.486633,39.32597,41.958656,4.9066463
177,37.486633,76.397064,61.707752,55.86928,68.8369,55.86928,57.70862,18.838177
178,68.8369,91.79652,73.34598,67.50751,84.98663,67.50751,80.47513,20.566912
179,84.98663,92.20589,71.988655,83.6293,89.57887,79.1178,83.62931,6.6417108
180,89.57887,90.29169,69.86181,81.502464,79.02453,81.502464,87.45203,3.135654
181,79.02453,74.49198,68.066666,77.229385,71.016045,77.229385,85.65688,8.7492075
182,71.016045,77.87433,68.226006,71.175385,76.50401,71.175385,77.388725,6.965162
183,76.50401,95.661766,69.07742,77.35543,89.56766,72.0268,77.35543,13.634639
184,89.56766,93.65642,69.20134,89.691574,90.14706,77.47935,89.691574,0.5052661
185,90.14706,84.42513,69.000916,89.49115,84.03743,89.49115,89.94663,6.489632
186,84.03743,86.14005,70.93878,91.8845,81.05826,85.975296,91.8845,13.356122
187,81.05826,85.635025,79.669304,89.78878,73.95722,89.78878,94.70582,21.406372
188,73.95722,93.17513,91.239624,85.52754,86.7246,85.52754,101.3591,1.3802999
189,86.7246,90.614975,94.90399,89.19191,89.67246,89.19191,90.38897,0.53589773
190,89.67246,80.60161,86.83762,81.606094,81.96524,81.606094,82.3226,0.43816882
191,81.96524,69.81952,71.14512,65.91359,65.614975,65.91359,66.272736,0.45510116
