hour,hour_invocation,day_of_week,hour_of_day
31.25,114.53333333333333,1,7
31.5,162.26666666666668,1,7
31.75,139.26666666666668,1,7
32.0,171.33333333333334,1,8
32.25,148.53333333333333,1,8
32.5,115.73333333333333,1,8
32.75,116.06666666666666,1,8
33.0,110.53333333333333,1,9
33.25,185.13333333333333,1,9
33.5,199.53333333333333,1,9
33.75,182.06666666666666,1,9
34.0,214.2,1,10
34.25,204.4,1,10
34.5,266.93333333333334,1,10
34.75,100.0,1,10
35.0,380.53333333333336,1,11
35.25,243.0,1,11
35.5,239.0,1,11
35.75,199.06666666666666,1,11
36.0,245.33333333333334,1,12
36.25,215.26666666666668,1,12
36.5,208.86666666666667,1,12
36.75,248.66666666666666,1,12
37.0,194.73333333333332,1,13
37.25,209.26666666666668,1,13
37.5,237.8,1,13
37.75,117.26666666666667,1,13
38.0,185.93333333333334,1,14
38.25,275.93333333333334,1,14
38.5,182.86666666666667,1,14
38.75,206.0,1,14
39.0,232.86666666666667,1,15
39.25,223.06666666666666,1,15
39.5,256.4,1,15
39.75,183.66666666666666,1,15
40.0,250.13333333333333,1,16
40.25,212.13333333333333,1,16
40.5,194.93333333333334,1,16
40.75,181.46666666666667,1,16
41.0,229.66666666666666,1,17
41.25,223.13333333333333,1,17
41.5,257.46666666666664,1,17
41.75,216.86666666666667,1,17
42.0,231.2,1,18
42.25,281.46666666666664,1,18
42.5,244.93333333333334,1,18
42.75,237.13333333333333,1,18
43.0,226.73333333333332,1,19
43.25,211.13333333333333,1,19
43.5,199.33333333333334,1,19
43.75,271.0,1,19
44.0,228.4,1,20
44.25,271.93333333333334,1,20
44.5,245.13333333333333,1,20
44.75,204.73333333333332,1,20
45.0,206.4,1,21
45.25,219.26666666666668,1,21
45.5,193.46666666666667,1,21
45.75,192.06666666666666,1,21
46.0,166.66666666666666,1,22
46.25,157.4,1,22
46.5,195.33333333333334,1,22
46.75,201.0,1,22
47.0,220.73333333333332,1,23
47.25,235.06666666666666,1,23
47.5,267.0,1,23
47.75,184.93333333333334,1,23
48.0,172.33333333333334,2,0
48.25,183.8,2,0
48.5,156.26666666666668,2,0
48.75,110.66666666666667,2,0
49.0,109.2,2,1
49.25,123.93333333333334,2,1
49.5,130.53333333333333,2,1
49.75,151.8,2,1
50.0,143.86666666666667,2,2
50.25,142.06666666666666,2,2
50.5,109.53333333333333,2,2
50.75,94.33333333333333,2,2
51.0,78.26666666666667,2,3
51.25,102.13333333333334,2,3
51.5,50.53333333333333,2,3
51.75,108.66666666666667,2,3
52.0,68.13333333333334,2,4
52.25,75.93333333333334,2,4
52.5,72.13333333333334,2,4
52.75,72.6,2,4
53.0,72.13333333333334,2,5
53.25,90.46666666666667,2,5
53.5,56.6,2,5
53.75,83.8,2,5
54.0,52.733333333333334,2,6
54.25,127.26666666666667,2,6
54.5,69.86666666666666,2,6
54.75,94.8,2,6
55.0,95.8,2,7
55.25,118.6,2,7
55.5,117.6,2,7
55.75,124.6,2,7
56.0,185.2,2,8
56.25,126.86666666666666,2,8
56.5,142.93333333333334,2,8
56.75,115.66666666666667,2,8
57.0,172.13333333333333,2,9
57.25,185.2,2,9
57.5,216.66666666666666,2,9
57.75,215.33333333333334,2,9
58.0,211.93333333333334,2,10
58.25,271.0,2,10
