x_hour,x_start,y_hour,predicted,target,error_rates
3658.0,378.4166666666667,3682.0,376.63858,350.21667,7.544445
3659.0,394.1,3683.0,392.3219,368.09998,6.5802565
3660.0,338.8833333333333,3684.0,337.10522,384.25,12.269298
3661.0,305.4,3685.0,303.6219,330.55,8.146454
3662.0,309.4,3686.0,307.6219,296.21667,3.8502939
3663.0,313.5833333333333,3687.0,311.80524,351.53333,11.301373
3664.0,290.05,3688.0,288.2719,336.95,14.446683
3665.0,339.4166666666667,3689.0,337.63858,358.76666,5.8890877
3666.0,266.7,3690.0,264.9219,296.16666,10.54972
3667.0,219.16666666666666,3691.0,217.38857,250.91666,13.362243
3668.0,318.3833333333333,3692.0,316.60522,279.65,13.214816
3669.0,248.45,3693.0,246.6719,244.5,0.8883049
3670.0,225.56666666666666,3694.0,223.78857,257.4,13.05805
3671.0,232.68333333333334,3695.0,230.90524,277.16666,16.69083
3672.0,180.45,3696.0,178.6719,195.25,8.490702
3673.0,190.48333333333332,3697.0,188.70523,188.98332,0.1471513
3674.0,225.06666666666666,3698.0,223.28857,152.9,46.035698
3675.0,188.06666666666666,3699.0,186.28857,151.08333,23.301874
3676.0,192.1,3700.0,190.3219,158.98332,19.711864
3677.0,177.71666666666667,3701.0,175.93857,160.13333,9.870048
3678.0,175.18333333333334,3702.0,173.40523,152.75,13.5222435
3679.0,180.83333333333334,3703.0,179.05524,175.81667,1.842016
3680.0,212.66666666666666,3704.0,210.88857,186.15,13.28959
3681.0,263.81666666666666,3705.0,262.03857,227.09999,15.384669
3682.0,350.21666666666664,3706.0,348.43857,324.63333,7.332961
3683.0,368.1,3707.0,366.3219,333.8333,9.731979
3684.0,384.25,3708.0,382.47192,322.45,18.61433
3685.0,330.55,3709.0,328.7719,298.13333,10.276805
3686.0,296.21666666666664,3710.0,294.43857,266.09998,10.649604
3687.0,351.53333333333336,3711.0,349.75525,295.66666,18.293776
3688.0,336.95,3712.0,335.17194,301.38333,11.211172
3689.0,358.76666666666665,3713.0,356.9886,289.3,23.397373
3690.0,296.1666666666667,3714.0,294.38855,309.9,5.0053062
3691.0,250.91666666666666,3715.0,249.13857,270.3333,7.840228
3692.0,279.65,3716.0,277.8719,234.58333,18.453382
3693.0,244.5,3717.0,242.7219,225.25,7.7566676
3694.0,257.4,3718.0,255.6219,212.79999,20.123081
3695.0,277.1666666666667,3719.0,275.38855,244.43333,12.664072
3696.0,195.25,3720.0,193.4719,245.56665,21.2141
3697.0,188.98333333333332,3721.0,187.20523,214.61667,12.772279
3698.0,152.9,3722.0,151.1219,194.13333,22.155613
3699.0,151.08333333333334,3723.0,149.30524,183.04999,18.43472
3700.0,158.98333333333332,3724.0,157.20523,204.73332,23.214634
3701.0,160.13333333333333,3725.0,158.35522,210.84999,24.896736
3702.0,152.75,3726.0,150.9719,173.63333,13.051317
3703.0,175.81666666666666,3727.0,174.03857,207.83333,16.260508
3704.0,186.15,3728.0,184.3719,192.79999,4.371414
3705.0,227.1,3729.0,225.3219,210.48332,7.049764
3706.0,324.6333333333333,3730.0,322.85522,280.25,15.202578
3707.0,333.8333333333333,3731.0,332.05524,325.84998,1.9043307
3708.0,322.45,3732.0,320.6719,330.05,2.8414125
3709.0,298.1333333333333,3733.0,296.35522,315.46667,6.058152
3710.0,266.1,3734.0,264.3219,321.5833,17.806091
3711.0,295.6666666666667,3735.0,293.88855,279.5833,5.116627
3712.0,301.3833333333333,3736.0,299.60522,310.73334,3.5812418
3713.0,289.3,3737.0,287.5219,286.0833,0.50286
3714.0,309.9,3738.0,308.1219,259.06665,18.935373
3715.0,270.3333333333333,3739.0,268.55524,243.75,10.176507
3716.0,234.58333333333334,3740.0,232.80524,246.16666,5.427794
3717.0,225.25,3741.0,223.4719,219.91666,1.6166292
3718.0,212.8,3742.0,211.0219,210.95,0.03408363
3719.0,244.43333333333334,3743.0,242.65523,234.18332,3.6176395
3720.0,245.56666666666666,3744.0,243.78857,206.53333,18.038372
3721.0,214.61666666666667,3745.0,212.83856,188.25,13.061653
3722.0,194.13333333333333,3746.0,192.35524,192.53333,0.092495844
3723.0,183.05,3747.0,181.2719,193.7,6.416159
3724.0,204.73333333333332,3748.0,202.95523,166.38333,21.980507
3725.0,210.85,3749.0,209.0719,146.51666,42.694965
3726.0,173.63333333333333,3750.0,171.85524,169.79999,1.2103959
3727.0,207.83333333333334,3751.0,206.05524,160.81665,28.130537
3728.0,192.8,3752.0,191.0219,192.41666,0.72486454
3729.0,210.48333333333332,3753.0,208.70523,266.73334,21.7551
3730.0,280.25,3754.0,278.4719,350.0,20.436602
3731.0,325.85,3755.0,324.0719,385.45,15.923755
3732.0,330.05,3756.0,328.2719,364.18335,9.860813
3733.0,315.46666666666664,3757.0,313.68857,321.94998,2.566055
3734.0,321.5833333333333,3758.0,319.80524,328.91666,2.7701302
3735.0,279.5833333333333,3759.0,277.80524,368.46667,24.605059
3736.0,310.73333333333335,3760.0,308.95523,419.46667,26.345703
3737.0,286.0833333333333,3761.0,284.30524,405.84998,29.948193
3738.0,259.06666666666666,3762.0,257.28857,419.68332,38.69459
3739.0,243.75,3763.0,241.9719,344.06665,29.67296
3740.0,246.16666666666666,3764.0,244.38857,303.34998,19.436762
3741.0,219.91666666666666,3765.0,218.13857,282.91666,22.896528
3742.0,210.95,3766.0,209.1719,318.46667,34.31906
3743.0,234.18333333333334,3767.0,232.40524,408.18335,43.06352
3744.0,206.53333333333333,3768.0,204.75523,365.15,43.92572
3745.0,188.25,3769.0,186.4719,127.399994,46.36727
3746.0,192.53333333333333,3770.0,190.75523,137.01666,39.220463
3747.0,193.7,3771.0,191.9219,132.35,45.010876
3748.0,166.38333333333333,3772.0,164.60522,82.91666,98.51889
3749.0,146.51666666666668,3773.0,144.73856,62.116653,133.01088
3750.0,169.8,3774.0,168.0219,107.23333,56.68813
3751.0,160.81666666666666,3775.0,159.03856,110.89999,43.407196
3752.0,192.41666666666666,3776.0,190.63857,151.96666,25.447624
3753.0,266.73333333333335,3777.0,264.95523,224.06665,18.2484
3754.0,350.0,3778.0,348.22192,433.31665,19.638
3755.0,385.45,3779.0,383.6719,442.28333,13.252008
3756.0,364.18333333333334,3780.0,362.40524,418.61667,13.427899
3757.0,321.95,3781.0,320.1719,390.21667,17.950226
3758.0,328.9166666666667,3782.0,327.13855,360.66666,9.296148
3759.0,368.46666666666664,3783.0,366.68857,408.93332,10.330475
3760.0,419.46666666666664,3784.0,417.6886,378.06665,10.480149
3761.0,405.85,3785.0,404.0719,360.48334,12.0917
3762.0,419.68333333333334,3786.0,417.90524,286.3333,45.95062
3763.0,344.06666666666666,3787.0,342.28857,390.18335,12.274941
3764.0,303.35,3788.0,301.5719,281.4,7.16841
3765.0,282.9166666666667,3789.0,281.13855,233.01666,20.651693
3766.0,318.46666666666664,3790.0,316.68857,202.48332,56.402294
3767.0,408.18333333333334,3791.0,406.40524,267.71667,51.804234
3768.0,365.15,3792.0,363.3719,170.78333,112.76778
3769.0,127.4,3793.0,125.621895,171.76666,26.8648
3770.0,137.01666666666668,3794.0,135.23856,163.15,17.107838
3771.0,132.35,3795.0,130.5719,198.41666,34.193073
3772.0,82.91666666666667,3796.0,81.138565,103.46666,21.57999
3773.0,62.11666666666667,3797.0,60.338577,94.95,36.45226
3774.0,107.23333333333333,3798.0,105.45523,113.83332,7.359963
3775.0,110.9,3799.0,109.1219,123.61666,11.725571
3776.0,151.96666666666667,3800.0,150.18857,124.04999,21.071007
3777.0,224.06666666666666,3801.0,222.28857,217.71666,2.099938
3778.0,433.31666666666666,3802.0,431.53857,365.45,18.08416
3779.0,442.28333333333336,3803.0,440.50522,448.7,1.8263413
3780.0,418.6166666666667,3804.0,416.83856,404.51666,3.0460796
3781.0,390.21666666666664,3805.0,388.43857,369.43332,5.144433
3782.0,360.6666666666667,3806.0,358.88858,348.96667,2.8432245
3783.0,408.93333333333334,3807.0,407.15524,373.51666,9.005912
3784.0,378.06666666666666,3808.0,376.28857,336.8,11.724641
3785.0,360.48333333333335,3809.0,358.70523,377.71664,5.0332475
3786.0,286.3333333333333,3810.0,284.55524,359.36667,20.817575
3787.0,390.18333333333334,3811.0,388.40524,328.6,18.200012
3788.0,281.4,3812.0,279.6219,244.96666,14.146916
3789.0,233.01666666666668,3813.0,231.23857,248.98334,7.126889
3790.0,202.48333333333332,3814.0,200.70523,234.98332,14.587458
3791.0,267.71666666666664,3815.0,265.93857,268.11667,0.8123704
3792.0,170.78333333333333,3816.0,169.00523,153.71666,9.945945
3793.0,171.76666666666668,3817.0,169.98857,164.7,3.2110348
3794.0,163.15,3818.0,161.3719,185.29999,12.91316
3795.0,198.41666666666666,3819.0,196.63857,213.7,7.983824
3796.0,103.46666666666667,3820.0,101.68856,211.58333,51.939236
3797.0,94.95,3821.0,93.1719,177.58333,47.53342
3798.0,113.83333333333333,3822.0,112.05524,178.71666,37.300064
3799.0,123.61666666666666,3823.0,121.83857,182.61667,33.28179
3800.0,124.05,3824.0,122.2719,148.99998,17.938316
