HashFunction,TotalSum
3e29f84dda113c04542888a02042665b255cb6b1656884e66ed8c0a88edc6b3e,6903480
64defca3c186f3cab087b24c1da7160fbebd7d5d5e0ff0036da1e7eee1d63440,6903457
2c5cdee651ceca87b4c5b3ae7bed7b2a231eb63f86170b096e7b9aeed7317fc6,6711298
b8a52e91b4644fa61309c63879b1a0c9f2aab5583b4046e75a796ac2dc9800e2,6693947
538e5f152816a87de2898d410723428c54032c5d07c87a63e776ebb9411e9191,6666918
4388466235c571073075a69dfb1d493f8c2811ee716628502d1d33474d112d5e,6511501
4257428103ed883bedf4a8e1d3826de7f6513d971a817065e6a3653ee518f5c6,6511430
474fe5a3fd40e08addfad868febf8c0aab521faa426924807ed57241571b37ae,6510886
1e2bbb46bb4dada3d75792659a8b8b5807d16e89ffeb64bef7911e54e3f5a45c,6469846
fd0f071b56fe67f3d006ae42a55a73e7f47365e2d4262349f2dd993e45ad83d5,6430343
a527539c1c2cc6d4ecac23d5e4d23259d5eba8f793d714c5500d1bb70d5c4957,6320409
888c7ad09f03ed215559092e06f2b3bdf8f0c0c5e35cb64450a38a533cf1216c,6312880
d2bf1b1520d605516698538c0183afec5c5317148815c4f990fb1996935250e0,6219954
dc460935782ecb98949bbd65b4bdc093413a9e0e627e9f28b9847c06ae257837,6190405
02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,6161398
740756f1353f6840c650d5d06043d13916a24213ec954993bdecfc97bf408364,6160050
958dcb47a429872162819393ea642e7cc1f60f233c190097226a4fe3ed7651b6,6126183
b8fb8be49781176b16bc5c3dfd27c8ed67a4a1a135be766e5a9ded8057185087,5987971
e22aa84f6fec9f9fe2bc277cabd8d31ef8468c79614209bdb313b49f0f4e88cc,5970291
55d296558599584dd598d889ad40fc2081e8dcacc2fa50497407addcb42debfd,5945245
5230f8205905b26cc0a81ea41f076ae503c887c27215ca2b53953ddb52039dbb,5907642
a4bf4eaa436971a8b17b6104c41b6db04d56ac1224d774a16059ece8318b9769,5844318
1e96dba25531d7884b3c21f04badfdd784f86b943fe92058211f18ed087bf15b,5776176
9ec1699a6d1388ea6aeeb85e55133f7c519f2b911090b6c72888c6e159f76bb4,5754074
56b261fe8fcb7688987966f8d0c4e6abff49ca99b9b68285382e6ac8631972c0,5686295
6eee87a877e771a68c848b1e4d84bc40851e6071218c0b16014ae575d2e998b1,5600129
83e948cf4e2adc7e439d35105ef2651e6bb6790e2d4b55e8a9ef1ac146f18aa8,5572673
279a1906bff3f448db7ad254a335b941e0a86de74b26f18466bcefd1d0cbe56e,5447875
9ea1f971b62fd4a13a475cd3d66cfda1498406e0e517dbc912108de4ff6b5406,5434221
58b091f52fac05fac5536d6f7b2a26ddecc39933061a812202c68b22622adf7c,5416960
e35b8041c3ef5952a90a403782209293f725c4f4a360d46cc5bf5f97163af47f,5401829
63a71b71d95d069728ef36a0c0f8a71360dbcfc1f04230b4928f7d3d3ef6e1ce,5391586
4a2cba061b07d3d0e86af648bf5640e323587d52d70da0fd7b8b0bf66dbe9fb6,5331677
f22a61dad0ccb26a34b2dcc4d93386f0585761926b5c7a5f495538ca51f8df00,5299163
9607faf44e7729e792a1aa049df238a32dfdfcf105938501c4e056db13284b76,5295598
1efbfbbe9fc83517f39da4b1219a6429f92282b095214efcbf89ddbfc781ab61,5250310
ff7e5bd1750ba364ae53323bc654c98f5576f8528af0eb8957c30b26034a605f,5181929
f7471e5c6cc5b60034ef1552648fa759b403c55ae9ac4be48d9984301f1f8d58,5165690
26a1acad7557c7c2a530057e1f67cc314fb85bc8cb14d18a773acb904ccebcb7,5139559
1fa06535203693698b96c9d65f3529e724f80a80af2e779880fe15cf9739fad7,5021929
a42179717edc415cf05ac1080ef5e3a639031cd994fcaba58086b97935a5859c,4997488
8ea0bca4776f107a49c74ae9fdbf63f9c50b20538b6d3b1cd1790727ec12b7f3,4946663
e1ba7f26822a9003c3afcee23f800915dff9877d1888c7a5f46fc8c0dc2ebb78,4946269
7cfa6b9f72247d4f94e2f8e575df230b7b0177e0294bc2b16718bbedcdfad82f,4903015
32716dda51c8da83a50988d9c29cce9d52bbfc5b420b501790431ec691ccd5c4,4896803
2c5d363481a100391a50d5397fece786de8d4b86fc02c8880a78bcfa7b297139,4695562
ba3b2635cf7864ae458f258396bacd7641c6c6b625154831529ce701a68a7a2b,4670485
29c0cfa96a70b4161bdc404bc28cda0ff19e229bffdbd8c67a11b0e846d9ce3f,4642510
7e7d996f208cfe3625de87139fb7d3fa08e82be8110005d34a23e0b5e9679321,4633453
eddf4557fae85aae06da41619ddefacb898bb7d170891153c266148405eb791c,4564229
547dee1d459e1587f7f5cf132df3546cad57b73b69254cf78c6851078b3af00e,4561629
bc87f474bd447aad71d580f6d778c25f4cac9f0b7ce05edac02a05b0d3069ef8,4540592
30679d9f3e11957fe98622ec9a64d6abca4a91c52aa03219e70cc6571d9692ee,4480979
bc5b7e791a1512d0dc64b6e8c487ea92bcc63b2496f574982fcfc135de1da955,4464190
b6dc0fd4fdaf4600140a5622e89708b312ef59d1bd78b7d536b60b593dc612c5,4452426
6d8430ab9fc8360208a9d3d29fac69041dd74319009310e24cfacff4aaafd44b,4396782
e79fff2fdf4c23cd6c1e2e09e73bfb29ad15d05fea859eb1a11f603247dd7b2d,4245460
cff9b58dd54c37ad0b3e442a0720bd0bb8b50abef16f4c2ce84d5490fb0e7a00,4227075
3ed238514ef98de7bbd3bf25708ac301b2adf1862ade1f704e326ec5773712dc,4186077
83b3aa6a0849c0947995baf420b51f111686f19e22a90ea4841f9bb69f9c0b4f,4150144
fa4ac754e022a4cd821d467827141a05064a08cdd9b7a2d121c24e096a6f0580,4117753
45916e002c4de1f6f85700989c6471700a4900acbd5d65c77faa3b9d79a05f14,4099141
0ddb434d18f5ca44cbdb353ba0ae6d9d34a2485a53f5b4efafee103d52cf842c,4074306
9fd480d41076fa0ebdb0ecce20c46f3e016d91c243c66ed3ee7864e65bd37311,4069478
3ea752d4544b3df15bac8057b9270c531823583a0ed4682134e46fb17b04cfb6,4034062
242e52513e1683cf10ec1f8cc527f610c3136cdb82eba2e88312c2c69296961a,3998409
b9226e5e4153be38c56eb544a3933ec6718218660987db13928442e3ce5ef6ab,3981358
dfc2745301e6abf5a3c56561bcffb3fed46806360b386899dfe5127bb8ae54e6,3887502
a6d34a50527c400bbc8d3b2211a170ca0fe490e63e64c641a51e8f2a6ce717af,3846542
b9ffe67ce971ec2bf68ae5d92970dae21d1a611b230807b28be13b2ea8e8beeb,3769799
