hour,median,mean,std,p05,p50,p95,true_hourly_energy,mean_minus_truth
1049.0,496680.2509489914,500447.47305006627,24410.689415074325,469259.28485351824,496680.2509489914,540723.7212798524,512254.68881441426,-11807.215764347988
1050.0,528803.0400658463,520877.163596363,21752.14026541372,482302.45091663423,528803.0400658463,544015.6474181339,477618.7681771355,43258.39541922748
1051.0,526100.7933522577,520971.4451447203,25683.505053638506,483102.96348543296,526100.7933522577,551593.276553805,473283.71002420003,47687.73512052029
1052.0,538131.6923551057,534998.1225995114,17485.979463294836,508265.15402850835,538131.6923551057,560346.6813903524,515106.2930397281,19891.829559783335
1053.0,537747.5391459318,537911.6789509768,17518.20045131735,512843.3488116463,537747.5391459318,562855.2502650087,510713.88746943726,27197.79148153955
1054.0,525168.6450573263,520355.3705822286,16104.687644885444,490805.7186400092,525168.6450573263,538743.7166271369,472394.9787769882,47960.39180524036
1055.0,465675.68426940276,455525.29039226874,20906.25148495775,422711.9697933871,465675.68426940276,477813.9347559409,422958.3433654809,32566.94702678785
1056.0,413960.46377062146,411913.8016339079,20020.829801241358,379181.03440722264,413960.46377062146,438809.4657103637,364680.2179339916,47233.583699916315
1057.0,341741.0447060303,341324.2742091764,17602.01496022227,312688.75413107284,341741.0447060303,365322.03883155546,307954.453639688,33369.820569488395
1058.0,288822.4192843732,291456.3954169924,25072.41297272232,251631.12472276617,288822.4192843732,327378.0378596701,266990.71218211134,24465.683234881086
1059.0,239203.85909142884,238314.09705587736,27734.737275045827,192200.21938116898,239203.85909142884,272192.3922133599,219339.73427764594,18974.362778231414
1060.0,222847.39675069234,221687.2579757348,17690.299973251196,187018.63447839927,222847.39675069234,245888.24315219722,206622.68360454976,15064.574371185037
1061.0,202262.92264086535,210049.75470173845,24441.880665415025,182989.09356342047,202262.92264086535,251738.60141929827,203158.72643741601,6891.028264322435
1062.0,194045.74127093834,197721.8585676649,14378.338878663471,182830.3644642612,194045.74127093834,222020.45507933342,210671.86753403014,-12950.008966365247
1063.0,238606.78799443165,231628.92431794733,22829.45077825627,189944.34649484142,238606.78799443165,259059.2274932261,253884.98152166922,-22256.057203721895
1064.0,272179.9832575939,276432.5596012821,20960.258672547312,246493.2537130591,272179.9832575939,314049.49091741635,342885.1510215477,-66452.59142026555
1065.0,369366.9257751978,371417.43678425945,36808.005203777204,322121.9263945782,369366.9257751978,433603.9566881913,436816.13790628844,-65398.701122028986
1066.0,418033.82574874273,420613.75398923265,25034.158301213567,390292.24869943014,418033.82574874273,453675.9212353203,502511.75798864715,-81898.0039994145
1067.0,447333.71140557237,447924.6902631616,36282.7353672159,404947.5392885072,447333.71140557237,503511.09133248706,507501.3149917427,-59576.62472858111
1068.0,487486.88173454965,499110.1792524796,33826.125082169376,462073.86808290577,487486.88173454965,547805.4072739342,489264.09599856305,9846.083253916528
1069.0,465467.6014019784,466427.54065535514,36953.083295688346,413548.72003670974,465467.6014019784,535085.0451805943,461364.38873716723,5063.151918187912
1070.0,457244.9803375233,465316.5336439337,43772.37270071485,404574.3071659142,457244.9803375233,547371.7352358046,476009.68636406533,-10693.15272013162
1071.0,475093.1864316247,477913.5675312193,39637.3664979579,415554.82131966384,475093.1864316247,532246.9724177805,502706.75738500536,-24793.189853786083
1072.0,463426.8630298853,470961.8512603,28979.98438634067,436127.187701129,463426.8630298853,531105.5572293575,512296.2913343605,-41334.44007406046
1073.0,462271.0261256546,478672.336455976,45016.5624051364,432045.500764079,462271.0261256546,570583.5688084124,488476.23409208877,-9803.897636112757
1074.0,473378.1491443941,472540.34904650954,38552.96649912068,411687.70750976965,473378.1491443941,528934.2173697705,441760.06286403676,30780.286182472773
1075.0,501201.9631677903,493210.21836791566,30603.347393807886,450371.6581797885,501201.9631677903,531247.5906916766,468511.35097918875,24698.86738872691
1076.0,516779.0564076055,524048.0410521609,36287.30759754933,474099.4888977195,516779.0564076055,579068.3463623817,524245.7578612128,-197.71680905192625
1077.0,540370.0908181864,541303.8174680253,34037.00591568964,494987.711960175,540370.0908181864,585659.791731249,507636.2000940119,33667.61737401335
1078.0,488539.3510869387,493240.0080732754,30362.951599614145,447652.1324358673,488539.3510869387,533978.496030963,479451.0666551803,13788.941418095084
1079.0,427518.85975858395,426537.7245888253,37436.63181383959,374923.51640302304,427518.85975858395,494067.1050516535,438447.6408302711,-11909.916241445811
1080.0,394546.95163179847,403123.7018636495,45403.433231463176,346408.7921067415,394546.95163179847,471592.14313629555,376022.7682077698,27100.933655879693
1081.0,318710.3752668665,311198.30069055065,29851.29747500872,277241.88714932074,318710.3752668665,347706.51057945227,332281.77406442136,-21083.473373870715
1082.0,278337.2369542989,297200.0207390851,38820.518878801005,251950.98009804936,278337.2369542989,353539.78075252165,268307.814753496,28892.205985589128
1083.0,229864.3052869348,241394.99755392745,30703.31210381896,206259.44621765727,229864.3052869348,299950.486510855,236050.85395907806,5344.143594849389
1084.0,198648.31513643023,215540.60601068387,43994.9471218385,182997.00186052825,198648.31513643023,306918.8313577125,203071.99517383255,12468.610836851323
1085.0,214455.12926995728,217761.73048804264,33344.456441237446,182787.82327981928,214455.12926995728,280782.81475992076,211067.9885036747,6693.741984367953
1086.0,230143.87644652594,247848.2430297408,44147.54508325484,209386.60280728686,230143.87644652594,338111.0830448263,226141.47947735852,21706.763552382297
1087.0,276687.39279780386,290563.98300801415,36767.465139819644,248596.39221557893,276687.39279780386,354018.5122953754,280000.17335482856,10563.809653185599
1088.0,356018.9601715392,364415.254355318,21759.182602773344,341078.1969756817,356018.9601715392,409995.39667780814,437026.1343814879,-72610.88002616994
1089.0,425288.7340202628,426552.8053101347,24272.360170142107,383544.62071966537,425288.7340202628,472813.88971240213,520106.5845884927,-93553.77927835798
1090.0,448257.36097698385,459340.83751611714,27325.290884729377,429840.59988191834,448257.36097698385,508123.6689347792,450942.1151712946,8398.722344822541
1091.0,484352.97401201265,508641.2756692549,62239.25858472796,460433.01006836747,484352.97401201265,653904.4389471215,571500.9681799952,-62859.69251074031
1092.0,495910.92966023285,512278.78912331973,48090.71414717485,473113.0908049542,495910.92966023285,586743.0164495001,583871.6601363708,-71592.87101305107
1093.0,468624.57843805023,489410.93773365684,51721.71343800106,455641.9942379683,468624.57843805023,598455.4356635285,558801.7799547457,-69390.84222108882
1094.0,460463.0152263614,486646.5052413898,64867.1832575459,432043.81105668505,460463.0152263614,620363.8425709035,547127.9263979525,-60481.42115656269
1095.0,462130.9218633305,501471.5996917505,71668.12851173506,444542.89184270444,462130.9218633305,649749.3523687257,582484.0295581087,-81012.42986635817
1096.0,470668.1420090168,504164.98791299167,57479.852151320876,446068.58654209244,470668.1420090168,585766.5974762499,553985.0033238011,-49820.01541080943
1097.0,528440.5187915775,537731.0120467246,79571.80928423133,452754.49857028073,528440.5187915775,653958.7888611301,503571.4385393849,34159.573507339635
1098.0,484683.5449354332,513532.6192354589,49944.46627636096,461039.0271131134,484683.5449354332,591478.3386819073,528432.0890699263,-14899.469834467396
1099.0,531157.8336259408,573615.8407804522,56640.64344341098,517576.61606106197,531157.8336259408,658903.3490153082,557695.7427354229,15920.098045029328
1100.0,623762.6967764513,607614.9182802078,54249.23153641592,542900.6266382168,623762.6967764513,675888.4079341552,575789.9300388916,31824.98824131617
1101.0,558156.8171432662,581359.8045241858,60106.1763608431,521881.08172171435,558156.8171432662,692213.9085586064,581936.9507883411,-577.1462641552789
1102.0,497670.19461172895,527583.9802671508,70412.58093021675,438127.03108721646,497670.19461172895,637020.0590924599,528975.5756638738,-1391.5953967230162
1103.0,439687.30639755906,468287.18918264046,72788.18078821311,388711.85038670327,439687.30639755906,586644.3316319098,455232.27581776003,13054.913364880427
1104.0,457325.37748299877,427111.5536597033,79385.584889539,329009.11832736136,457325.37748299877,531240.2728871463,375749.1043913895,51362.449268313765
1105.0,300270.7769650038,344377.4274708873,87068.86279899602,254233.51885834738,300270.7769650038,509468.32753042487,338246.60572775174,6130.821743135573
1106.0,233611.2235423569,263199.00858227303,81710.68262900278,189718.02090024407,233611.2235423569,420111.7870064962,263828.2807937745,-629.2722115014913
1107.0,228989.13812363468,255028.21288891422,73539.78459909189,182934.0665286611,228989.13812363468,395823.2448063339,228192.7833254454,26835.429563468817
1108.0,285221.7244088599,297399.7974401244,98981.58054396027,182908.2661585619,285221.7244088599,443824.0960385652,216127.55736559525,81272.24007452914
1109.0,213813.59964235305,273686.00632094464,108621.4552943394,182695.56192751438,213813.59964235305,455483.9755598451,216164.37399696876,57521.63232397588
1110.0,255880.07733874393,270823.0490270367,68234.77135771845,187248.25096666126,255880.07733874393,385909.67220145604,205434.4898272756,65388.559199761105
1111.0,324636.98954156664,350019.2822659881,96056.3984184788,232707.87915193834,324636.98954156664,498006.7568404872,261156.81074197864,88862.47152400948
1112.0,450607.7726731185,470545.0277979996,77743.87666818639,381677.66281312506,450607.7726731185,596963.1356137198,355022.51369302097,115522.51410497865
1113.0,578407.4533102134,560109.4521018802,70314.04485567664,471776.3652061758,578407.4533102134,666520.8355941656,487412.9496223441,72696.50247953611
1114.0,480131.60391065286,502309.6517405159,99850.32750417058,362555.56461430783,480131.60391065286,653008.2979743971,493818.50217925163,8491.149561264261
1115.0,509704.87564770615,526343.409081608,44130.03074482114,479806.8438695675,509704.87564770615,603336.3517900421,514977.66532242845,11365.743759179604
1116.0,487056.7884516111,490073.36703026015,48190.21857993955,409663.47287334583,487056.7884516111,579933.8512235507,470639.509742379,19433.85728788114
