mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
260596692.7840583,260384233.76614532,9488257.67741312,243982939.90546152,260384233.76614532,275779537.3465082,259959173.01662496,637519.7674333453
251765530.4340798,252942069.20442665,11752117.850184876,230177481.9213605,252942069.20442665,269591192.1624497,265712624.6611177,-13947094.227037907
254160998.2290158,253722298.6300434,10862811.99923658,236065688.23853043,253722298.6300434,271639060.42297846,251421707.41928145,2739290.8097343445
248078808.42802146,247825598.1328087,11499248.772330247,229195091.89327684,247825598.1328087,266898962.26314324,250336273.20586365,-2257464.777842194
251980056.8935658,252737150.48491272,12156924.923895452,232749217.300034,252737150.48491272,272312592.0487385,266214642.76215926,-14234585.868593454
253161714.17718494,251419129.6987542,14700665.854748353,230563315.4603862,251419129.6987542,285863457.16037965,270953262.66954994,-17791548.492365003
259431083.98792005,258456117.40630844,12126918.293093422,240573581.9457935,258456117.40630844,282281613.0127516,271510100.29567325,-12079016.307753205
268802501.9393233,268280838.25200027,14714664.883241866,245137004.06319115,268280838.25200027,297343543.7219732,254313231.60819763,14489270.331125677
279415797.54226047,278637725.63562834,12380589.15906075,260178027.8370388,278637725.63562834,303276640.5952384,271757387.86124617,7658409.681014299
299099889.6439105,299399205.43085355,14186669.087571135,277364930.4370987,299399205.43085355,323373362.2283265,295468043.68171424,3631845.9621962905
303364497.3625019,303544331.3560301,13343785.686263688,278633264.2495925,303544331.3560301,324516262.39315665,297781179.9742554,5583317.388246536
293198606.74258685,292818758.9407848,10721231.416793153,275815343.1044331,292818758.9407848,312095891.74785644,269735647.8928556,23462958.849731266
250622483.38532692,252100572.67617488,13121986.447690638,229457364.2029307,252100572.67617488,270239323.8306443,247324500.43647465,3297982.948852271
211723173.39477953,211818257.07161987,14540074.873658085,188274966.68955708,211818257.07161987,234831598.0042623,215640446.7900254,-3917273.39524588
160984365.6718531,163043858.35929215,11731861.55722631,137656732.08714774,163043858.35929215,176842786.10709378,189067455.47847646,-28083089.80662337
141345737.03199446,142649158.03690168,18953504.945659086,113355280.83550702,142649158.03690168,171585415.24618167,144858659.12506106,-3512922.093066603
116658742.86874653,117051665.30372757,12993572.056666976,94259283.99120146,117051665.30372757,139897033.91500935,122071087.61890884,-5412344.750162303
111173464.16158596,111491639.60217276,13092131.583205417,92029234.93180937,111491639.60217276,138160630.54770368,116110082.06717084,-4936617.905584887
108426027.81747872,109301225.94264394,8755831.316176122,93342103.75702491,109301225.94264394,120447087.62948743,114794961.17122614,-6368933.353747427
109555535.82550651,106872898.75886151,14669591.476572894,90128398.86431018,106872898.75886151,136045125.95815971,116668624.9294561,-7113089.1039495915
141655354.72122276,139542188.0762046,13737948.847049605,121750494.45928411,139542188.0762046,168172602.5296503,142334759.29990116,-679404.5786783993
178232163.05477673,178537140.56703115,15418418.082472986,155989940.97448882,178537140.56703115,201690809.92466617,185707741.08216956,-7475578.027392834
221192443.42233714,220920272.52485052,17579507.971347097,190512445.60420403,220920272.52485052,248203418.75467294,249808021.0130021,-28615577.590664953
248902658.78356865,248160769.10011503,18645109.82145788,219386199.1993476,248160769.10011503,281346825.7965236,285086224.2307336,-36183565.44716492
263352876.91331062,261631779.8984939,19029392.93120118,236287462.2862779,261631779.8984939,296756901.31356585,293181610.227109,-29828733.313798398
257615779.20639125,255234266.8561831,17555698.964815818,234243887.3442959,255234266.8561831,297835099.83543664,298665203.5863296,-41049424.379938334
255295662.3302142,252212723.5401817,19620928.576406725,232695221.0709832,252212723.5401817,302531929.32801706,281616325.34994924,-26320663.01973504
260252092.58974928,258430519.01946926,22172840.785574265,229554948.67346108,258430519.01946926,301558738.12127185,278285726.06124955,-18033633.471500278
262021577.08111036,258647889.41561085,18552775.911615178,237535075.87581342,258647889.41561085,299656793.78069496,279569036.4971374,-17547459.41602707
274722128.4563101,273516733.36327314,19790853.574286852,245558515.80946642,273516733.36327314,310789920.147844,274007756.6859495,714371.770360589
293514502.50026524,293619709.0233228,23240095.884551503,255370738.37411302,293619709.0233228,328256175.06805545,269158950.72977394,24355551.770491302
292239792.4177436,291399022.8269806,19402429.60178248,261842539.7558296,291399022.8269806,323979754.87309545,267848510.0517892,24391282.36595443
308589205.88923603,307027192.1858479,18615531.83631342,280876432.5784307,307027192.1858479,341178017.4985834,268333651.66551346,40255554.22372258
294954313.58307487,291882036.5669093,18115592.327881835,268575956.6901216,291882036.5669093,325203774.290265,279688082.07973176,15266231.503343105
299289246.68213916,293885068.03229785,22109072.525141116,268144329.55234635,293885068.03229785,336315538.5050133,267407543.60964096,31881703.072498202
288867217.4822902,284789762.2057979,22228350.916302405,252823014.03083196,284789762.2057979,325417949.0695713,286448004.7714998,2419212.7107903957
267207563.775049,267074238.4376519,16720689.254814383,239585027.879442,267074238.4376519,294229033.3275147,242434688.57569095,24772875.199358046
223716322.21131065,221791201.5728128,22111421.15090558,188725928.67821532,221791201.5728128,259174919.24129167,206238340.9795609,17477981.231749743
203057567.17342865,203476906.01677582,30274331.84106162,161115255.15292212,203476906.01677582,245461000.26574048,168658793.70773572,34398773.46569294
167117103.48046553,161718809.6283162,31459398.123085126,122562081.28804608,161718809.6283162,215862317.92052355,131373706.25887926,35743397.22158627
119661598.6176211,118680571.50251839,24230709.987160474,86022259.18022609,118680571.50251839,162610200.28445882,115450069.5408701,4211529.076750994
99230513.97818007,90345466.95878151,20410734.41038397,82231864.9572425,90345466.95878151,151790699.40064663,110350089.20062236,-11119575.2224423
120857359.86680007,113540840.35703915,30427449.671683367,83392842.97461589,113540840.35703915,170772176.15115425,105860171.72012252,14997188.146677554
119904501.57577969,115047232.33621635,30672866.207969107,82862080.37438528,115047232.33621635,178541719.50045735,106832357.44097121,13072144.13480848
