hour,hour_invocation,hour_of_day,day_of_week
20634,38.0,18,5
20635,38.0,19,5
20636,52.0,20,5
20637,41.0,21,5
20638,49.0,22,5
20639,47.0,23,5
20640,54.0,0,6
20641,103.0,1,6
20642,120.0,2,6
20643,101.0,3,6
20644,129.0,4,6
20645,162.0,5,6
20646,117.0,6,6
20647,101.0,7,6
20648,108.0,8,6
20649,122.0,9,6
20650,103.0,10,6
20651,86.0,11,6
20652,98.0,12,6
20653,109.0,13,6
20654,88.0,14,6
20655,72.0,15,6
20656,81.0,16,6
20657,56.0,17,6
20658,84.0,18,6
20659,68.0,19,6
20660,84.0,20,6
20661,69.0,21,6
20662,86.0,22,6
20663,71.0,23,6
20664,88.0,0,0
20665,78.0,1,0
20666,82.0,2,0
20667,58.0,3,0
20668,71.0,4,0
20669,82.0,5,0
20670,89.0,6,0
20671,76.0,7,0
20672,101.0,8,0
20673,77.0,9,0
20674,71.0,10,0
20675,91.0,11,0
20676,89.0,12,0
20677,82.0,13,0
20678,72.0,14,0
20679,86.0,15,0
20680,100.0,16,0
20681,112.0,17,0
20682,111.0,18,0
20683,80.0,19,0
20684,99.0,20,0
20685,86.0,21,0
20686,79.0,22,0
20687,107.0,23,0
20688,107.0,0,1
20689,123.0,1,1
20690,96.0,2,1
20691,118.0,3,1
20692,79.0,4,1
20693,110.0,5,1
20694,114.0,6,1
20695,93.0,7,1
20696,112.0,8,1
20697,107.0,9,1
20698,103.0,10,1
20699,103.0,11,1
20700,127.0,12,1
20701,160.0,13,1
20702,198.0,14,1
20703,138.0,15,1
20704,158.0,16,1
20705,141.0,17,1
20706,146.0,18,1
20707,147.0,19,1
20708,172.0,20,1
20709,158.0,21,1
20710,176.0,22,1
20711,166.0,23,1
20712,151.0,0,2
20713,177.0,1,2
20714,132.0,2,2
20715,132.0,3,2
20716,138.0,4,2
20717,128.0,5,2
20718,117.0,6,2
20719,138.0,7,2
20720,106.0,8,2
20721,112.0,9,2
20722,98.0,10,2
20723,110.0,11,2
20724,139.0,12,2
20725,158.0,13,2
20726,146.0,14,2
20727,108.0,15,2
20728,132.0,16,2
20729,109.0,17,2
20730,109.0,18,2
20731,129.0,19,2
20732,81.0,20,2
20733,132.0,21,2
20734,120.0,22,2
20735,127.0,23,2
20736,112.0,0,3
20737,128.0,1,3
20738,112.0,2,3
20739,126.0,3,3
20740,105.0,4,3
20741,107.0,5,3
20742,143.0,6,3
20743,110.0,7,3
20744,105.0,8,3
20745,132.0,9,3
20746,131.0,10,3
20747,130.0,11,3
20748,131.0,12,3
20749,133.0,13,3
20750,126.0,14,3
20751,118.0,15,3
20752,144.0,16,3
20753,146.0,17,3
20754,91.0,18,3
20755,124.0,19,3
20756,170.0,20,3
20757,147.0,21,3
20758,117.0,22,3
20759,121.0,23,3
20760,169.0,0,4
20761,177.0,1,4
20762,187.0,2,4
20763,250.0,3,4
20764,212.0,4,4
20765,210.0,5,4
20766,218.0,6,4
20767,260.0,7,4
20768,207.0,8,4
20769,197.0,9,4
20770,222.0,10,4
20771,169.0,11,4
20772,189.0,12,4
20773,171.0,13,4
20774,197.0,14,4
20775,197.0,15,4
20776,180.0,16,4
20777,187.0,17,4
20778,150.0,18,4
20779,153.0,19,4
20780,149.0,20,4
20781,164.0,21,4
20782,192.0,22,4
20783,136.0,23,4
20784,145.0,0,5
20785,164.0,1,5
20786,164.0,2,5
20787,147.0,3,5
20788,163.0,4,5
20789,130.0,5,5
20790,148.0,6,5
20791,151.0,7,5
20792,158.0,8,5
20793,133.0,9,5
20794,158.0,10,5
20795,144.0,11,5
20796,155.0,12,5
20797,136.0,13,5
20798,188.0,14,5
20799,195.0,15,5
20800,162.0,16,5
20801,211.0,17,5
20802,171.0,18,5
20803,136.0,19,5
20804,202.0,20,5
20805,220.0,21,5
20806,155.0,22,5
20808,165.0,0,6
20811,172.0,3,6
20812,181.0,4,6
20813,145.0,5,6
20814,181.0,6,6
20815,200.0,7,6
20816,194.0,8,6
20817,196.0,9,6
20818,155.0,10,6
20819,139.0,11,6
20820,181.0,12,6
20821,197.0,13,6
20822,264.0,14,6
20823,238.0,15,6
20824,206.0,16,6
20825,219.0,17,6
20826,173.0,18,6
20827,216.0,19,6
20828,163.0,20,6
20829,150.0,21,6
20830,167.0,22,6
20831,211.0,23,6
20832,242.0,0,0
20835,216.0,3,0
20836,216.0,4,0
20837,265.0,5,0
20838,216.0,6,0
20839,216.0,7,0
20840,183.0,8,0
20841,195.0,9,0
20842,223.0,10,0
20843,203.0,11,0
20847,150.0,15,0
20848,181.0,16,0
20849,175.0,17,0
20850,188.0,18,0
20851,198.0,19,0
20852,146.0,20,0
20853,181.0,21,0
20854,219.0,22,0
20855,180.0,23,0
20856,158.0,0,1
20857,197.0,1,1
20859,206.0,3,1
20860,176.0,4,1
20861,213.0,5,1
20862,148.0,6,1
20863,164.0,7,1
20864,178.0,8,1
20865,234.0,9,1
20866,208.0,10,1
20867,232.0,11,1
20868,210.0,12,1
20869,238.0,13,1
20870,242.0,14,1
20871,213.0,15,1
20872,188.0,16,1
20873,196.0,17,1
20874,165.0,18,1
20875,156.0,19,1
20876,206.0,20,1
20877,211.0,21,1
20880,206.0,0,2
20881,239.0,1,2
20882,212.0,2,2
20883,217.0,3,2
20884,226.0,4,2
20885,229.0,5,2
20886,231.0,6,2
20887,244.0,7,2
20888,265.0,8,2
20889,258.0,9,2
20890,259.0,10,2
20893,267.0,13,2
20894,192.0,14,2
20895,192.0,15,2
20896,222.0,16,2
20897,240.0,17,2
20898,224.0,18,2
20899,156.0,19,2
20900,236.0,20,2
20901,196.0,21,2
20902,197.0,22,2
20903,180.0,23,2
20904,147.0,0,3
20905,165.0,1,3
20906,164.0,2,3
20908,173.0,4,3
20909,172.0,5,3
20910,155.0,6,3
20911,188.0,7,3
20912,158.0,8,3
20913,177.0,9,3
20914,158.0,10,3
20915,141.0,11,3
20916,211.0,12,3
20917,154.0,13,3
20918,216.0,14,3
20919,162.0,15,3
20920,184.0,16,3
20922,219.0,18,3
20923,167.0,19,3
20924,177.0,20,3
20925,219.0,21,3
20926,218.0,22,3
20927,218.0,23,3
20928,130.0,0,4
20929,217.0,1,4
20930,224.0,2,4
20931,184.0,3,4
20932,196.0,4,4
20933,202.0,5,4
20934,180.0,6,4
20935,234.0,7,4
20936,170.0,8,4
20937,164.0,9,4
20938,163.0,10,4
20939,165.0,11,4
20940,167.0,12,4
20941,167.0,13,4
20942,163.0,14,4
20943,183.0,15,4
20944,215.0,16,4
20945,172.0,17,4
20946,192.0,18,4
20947,194.0,19,4
20948,186.0,20,4
20949,201.0,21,4
20950,236.0,22,4
20952,211.0,0,5
20953,181.0,1,5
20954,180.0,2,5
20955,257.0,3,5
20956,230.0,4,5
20957,238.0,5,5
20958,220.0,6,5
20959,201.0,7,5
20960,231.0,8,5
20961,153.0,9,5
20962,180.0,10,5
20963,217.0,11,5
20964,259.0,12,5
20965,240.0,13,5
20966,205.0,14,5
20967,195.0,15,5
20968,233.0,16,5
20969,191.0,17,5
20970,188.0,18,5
20971,158.0,19,5
20972,147.0,20,5
20973,130.0,21,5
20974,170.0,22,5
20975,201.0,23,5
20976,181.0,0,6
20977,211.0,1,6
20978,195.0,2,6
20979,238.0,3,6
20980,186.0,4,6
20981,182.0,5,6
20982,207.0,6,6
20983,192.0,7,6
20984,212.0,8,6
20985,193.0,9,6
20986,183.0,10,6
20987,147.0,11,6
20988,163.0,12,6
20989,209.0,13,6
20990,168.0,14,6
20991,198.0,15,6
20992,188.0,16,6
20993,184.0,17,6
20994,173.0,18,6
20995,183.0,19,6
20996,153.0,20,6
20997,183.0,21,6
20998,227.0,22,6
20999,225.0,23,6
21000,215.0,0,0
21001,236.0,1,0
21002,228.0,2,0
21003,208.0,3,0
21004,187.0,4,0
21005,190.0,5,0
21006,201.0,6,0
21007,202.0,7,0
21008,177.0,8,0
21009,166.0,9,0
21010,214.0,10,0
21011,189.0,11,0
21012,185.0,12,0
21013,181.0,13,0
21014,152.0,14,0
21015,150.0,15,0
21016,198.0,16,0
21017,198.0,17,0
21018,184.0,18,0
21019,177.0,19,0
21020,163.0,20,0
21021,186.0,21,0
21022,220.0,22,0
21023,189.0,23,0
21024,218.0,0,1
21025,208.0,1,1
21026,196.0,2,1
21027,188.0,3,1
21028,251.0,4,1
21029,226.0,5,1
21030,156.0,6,1
21031,198.0,7,1
21033,231.0,9,1
21034,170.0,10,1
21035,165.0,11,1
21036,201.0,12,1
21037,202.0,13,1
21038,238.0,14,1
21039,197.0,15,1
21042,187.0,18,1
21043,217.0,19,1
21044,147.0,20,1
21045,201.0,21,1
21046,234.0,22,1
21047,224.0,23,1
21048,197.0,0,2
21049,235.0,1,2
21050,202.0,2,2
21051,258.0,3,2
21052,245.0,4,2
21054,180.0,6,2
21055,132.0,7,2
21056,180.0,8,2
21057,194.0,9,2
21058,222.0,10,2
21059,214.0,11,2
21060,141.0,12,2
21061,219.0,13,2
21062,220.0,14,2
21063,177.0,15,2
21064,174.0,16,2
21065,203.0,17,2
21066,225.0,18,2
21067,175.0,19,2
21068,229.0,20,2
21069,202.0,21,2
21070,208.0,22,2
21071,184.0,23,2
21072,182.0,0,3
21073,208.0,1,3
21074,203.0,2,3
21075,195.0,3,3
21076,206.0,4,3
21077,220.0,5,3
21078,158.0,6,3
21079,204.0,7,3
21080,237.0,8,3
21081,219.0,9,3
21082,233.0,10,3
21083,189.0,11,3
21084,176.0,12,3
21085,192.0,13,3
21086,183.0,14,3
21087,162.0,15,3
21088,166.0,16,3
21089,185.0,17,3
21090,163.0,18,3
21091,211.0,19,3
21092,245.0,20,3
21093,196.0,21,3
21094,177.0,22,3
21095,177.0,23,3
21096,251.0,0,4
21097,218.0,1,4
21098,212.0,2,4
21099,177.0,3,4
21100,202.0,4,4
21101,266.0,5,4
21102,267.0,6,4
21103,251.0,7,4
21104,219.0,8,4
21105,226.0,9,4
21106,227.0,10,4
21107,201.0,11,4
21108,203.0,12,4
21109,194.0,13,4
21110,259.0,14,4
21111,178.0,15,4
21112,180.0,16,4
21113,197.0,17,4
21114,200.0,18,4
21115,260.0,19,4
21116,202.0,20,4
21117,201.0,21,4
21118,181.0,22,4
21119,195.0,23,4
21120,181.0,0,5
21121,242.0,1,5
21122,188.0,2,5
21123,238.0,3,5
21124,215.0,4,5
21125,191.0,5,5
21126,160.0,6,5
21127,235.0,7,5
21128,175.0,8,5
21129,164.0,9,5
21130,150.0,10,5
21131,203.0,11,5
21132,171.0,12,5
21133,205.0,13,5
21134,213.0,14,5
21135,229.0,15,5
21136,192.0,16,5
21137,233.0,17,5
21138,190.0,18,5
21139,236.0,19,5
21140,177.0,20,5
21141,214.0,21,5
21142,152.0,22,5
21143,153.0,23,5
21144,184.0,0,6
21145,203.0,1,6
21146,194.0,2,6
21147,181.0,3,6
21148,195.0,4,6
21149,181.0,5,6
21150,215.0,6,6
21151,198.0,7,6
21152,201.0,8,6
21153,185.0,9,6
21154,218.0,10,6
21155,202.0,11,6
21156,214.0,12,6
21157,216.0,13,6
21158,188.0,14,6
21159,185.0,15,6
21160,243.0,16,6
21161,262.0,17,6
21162,165.0,18,6
21163,232.0,19,6
21164,220.0,20,6
21165,160.0,21,6
21166,186.0,22,6
21167,176.0,23,6
21168,148.0,0,0
21169,146.0,1,0
21170,159.0,2,0
21171,166.0,3,0
21172,160.0,4,0
21173,178.0,5,0
