x_last_hour,x_start_hour,predicted,target,error_rates
212.0,190.0,212.27878,153.0,38.7443
198.0,156.0,198.27878,198.0,0.140797
149.0,144.0,149.2788,173.0,13.71168
185.0,177.0,185.2788,218.0,15.009728
36.0,33.0,38.964134,66.0,40.963432
19.0,25.000008,19.278793,10.000008,92.78778
56.000008,54.0,56.2788,36.000008,56.32997
197.0,161.0,197.2788,202.0,2.3372312
182.0,134.0,181.6466,160.0,13.529129
171.0,178.0,171.2788,195.0,12.1647215
100.0,150.0,100.27879,108.0,7.149266
248.0,224.0,248.27878,194.0,27.97875
56.000008,65.0,56.2788,41.0,37.26537
167.0,212.0,167.2788,148.0,13.026212
100.0,88.0,100.27078,112.0,10.472516
185.0,139.0,185.2788,164.0,12.9748745
97.0,91.0,97.27879,94.0,3.4880779
146.0,114.0,146.2788,91.0,60.745926
44.0,105.0,44.2788,88.0,49.68318
189.0,193.0,189.2788,167.0,13.340595
171.0,208.0,171.2788,205.0,16.44937
72.0,77.0,72.27879,86.0,15.954891
159.0,186.0,159.2788,162.0,1.6797572
184.0,196.0,184.27148,194.0,5.014699
128.0,72.0,128.30434,112.0,14.557444
71.0,52.000008,71.2397,87.0,18.115286
210.0,178.0,210.26015,206.0,2.0680325
13.000008,26.0,13.278801,21.000008,36.76764
18.000008,46.000008,18.278801,27.0,32.30074
105.0,153.0,104.95302,110.0,4.5881653
49.000008,104.0,49.2788,49.000008,0.5689659
158.0,169.0,158.2788,153.0,3.4501917
99.0,108.0,99.22964,64.0,55.046307
120.0,92.0,120.26075,121.0,0.6109505
190.0,264.0,190.2788,209.0,8.957515
203.0,257.0,203.27072,206.0,1.3248925
86.0,70.0,86.27879,79.0,9.213662
109.0,110.0,109.27879,111.0,1.5506366
226.0,166.0,226.26416,188.0,20.353277
151.0,156.0,151.2788,136.0,11.234407
112.0,82.0,112.27879,128.0,12.282192
162.0,200.0,162.2788,144.0,12.693606
37.0,79.0,37.2788,35.000008,6.5108366
118.0,79.0,118.2786,144.0,17.862082
170.0,171.0,170.2788,175.0,2.6978323
156.0,106.0,156.2788,213.0,26.629675
101.0,16.0,101.27246,129.0,21.494215
181.0,105.0,181.2788,193.0,6.073164
195.0,243.0,195.27472,174.0,12.22685
202.0,194.0,202.27847,201.0,0.6360562
161.0,143.0,161.22784,186.0,13.318363
67.0,113.0,67.28314,69.0,2.4881997
205.0,187.0,205.26132,212.0,3.1786218
220.0,238.0,220.27878,191.0,15.329203
235.0,176.0,235.2788,210.0,12.03752
114.0,177.0,114.27879,109.0,4.8429294
213.0,195.0,213.48396,159.0,34.266644
132.0,182.0,132.2788,142.0,6.8459206
173.0,174.0,173.2788,208.0,16.692886
233.0,136.0,234.22095,201.0,16.527834
86.0,92.0,86.27879,100.0,13.721207
152.0,192.0,152.2788,209.0,27.139334
38.000008,68.0,38.2788,60.0,36.202
138.0,56.000008,138.2788,128.0,8.030308
72.0,71.0,72.262665,80.0,9.671669
177.0,166.0,177.2788,174.0,1.884364
257.0,212.0,257.25742,178.0,44.526638
163.0,131.0,163.2788,234.99998,30.519659
107.0,158.0,107.27879,132.0,18.728186
190.0,255.0,190.2788,222.0,14.288833
172.0,164.0,172.25905,185.0,6.887001
110.0,142.0,110.27319,125.0,11.7814455
175.0,160.0,175.26685,213.0,17.715096
110.0,176.0,110.27879,94.0,17.317865
152.0,123.0,152.2788,171.0,10.948074
77.0,91.0,77.27879,67.0,15.341483
141.0,236.0,141.2788,145.0,2.5663495
54.0,38.000008,54.278793,43.0,26.229752
193.0,218.0,193.53116,229.0,15.488577
94.0,185.0,94.27168,76.0,24.041689
154.0,181.0,154.2788,149.0,3.5428145
209.0,162.0,209.27878,204.0,2.5876365
218.0,242.0,218.2788,160.0,36.424248
169.0,190.0,169.2788,180.0,5.956226
112.0,150.0,112.27879,164.0,31.537321
52.000008,109.0,52.2788,36.000008,45.21886
151.0,99.0,151.2788,155.0,2.4007785
170.0,242.0,170.2788,170.0,0.16399609
202.0,171.0,202.27878,147.0,37.60461
107.0,44.0,107.27879,123.0,12.781469
153.0,164.0,153.24239,194.0,21.00908
210.0,153.0,210.2788,206.0,2.0770843
176.0,150.0,176.2788,171.0,3.0870135
30.0,33.0,30.272354,28.000008,8.115521
191.0,184.0,191.2788,154.0,24.20701
188.0,174.0,188.26508,224.0,15.953091
171.0,159.0,171.27565,146.0,17.312088
164.0,194.0,164.27838,165.0,0.43734467
181.0,161.0,181.27261,175.0,3.5843506
211.0,197.0,211.2788,208.0,1.5763429
187.0,177.0,187.27771,145.0,29.157043
183.0,188.0,183.25188,192.0,4.5563145
162.0,215.0,162.2788,194.0,16.351137
261.0,188.0,261.27277,191.0,36.792027
219.0,268.0,219.27878,199.99998,9.639398
192.0,186.0,192.46367,187.0,2.921748
175.0,198.0,175.2788,187.0,6.2680254
105.0,229.0,105.27879,146.0,27.891237
67.0,109.0,67.27879,70.0,3.887438
151.0,187.0,154.64099,180.0,14.088339
148.0,196.0,148.27296,144.0,2.9673364
173.0,160.0,173.2788,200.0,13.360603
133.0,211.0,133.24915,135.0,1.2969292
163.0,161.0,163.2788,143.0,14.180975
124.0,51.0,124.27879,143.0,13.091753
65.0,113.0,65.27811,62.0,5.2872686
