timestamp,load_name,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
2025-12-19T04:29:13,rps-40,48,49.084371,1.001392,118.6979131386532,163.19690714718388,281.8948202858371
2025-12-19T04:29:14,rps-40,49,50.085773,1.001401,115.51031003215004,138.9245807017391,254.43489073388915
2025-12-19T04:29:15,rps-40,50,51.087159,1.001386,126.79983120207022,147.68854200906972,274.48837321113996
2025-12-19T04:29:16,rps-40,51,52.088658,1.001499,121.18623550112936,125.5685087022096,246.75474420333896
2025-12-19T04:29:17,rps-40,52,53.090641,1.001983,128.68434761042036,153.43774551971413,282.1220931301345
2025-12-19T04:29:18,rps-40,53,54.092083,1.001442,137.89035323759532,153.958999963005,291.8493532006003
2025-12-19T04:29:19,rps-40,54,55.093677,1.001594,123.27372685765566,138.12678563370292,261.4005124913586
2025-12-19T04:29:20,rps-40,55,56.095677,1.002,126.67170455126164,148.56035897803076,275.2320635292924
2025-12-19T04:29:21,rps-40,56,57.096849,1.001172,132.29592701888612,159.33387621144598,291.6298032303321
2025-12-19T04:29:22,rps-40,57,58.09826,1.001411,126.18345304983212,160.28777218045332,286.4712252302854
2025-12-19T04:29:23,rps-40,58,59.099699,1.001439,134.5455012251929,147.00166166289452,281.5471628880874
2025-12-19T04:29:24,rps-40,59,60.100861,1.001162,128.86219385627274,147.94056988558137,276.8027637418541

2025-12-19T04:28:26,rps-40,0,1.004747,1.004747,116.2172205674616,140.2054064335296,256.42262700099116
2025-12-19T04:28:27,rps-40,1,2.006306,1.00156,117.42969886561707,140.97464101071452,258.4043398763316
2025-12-19T04:28:28,rps-40,2,3.007804,1.001498,129.7109410943718,137.69877145283934,267.40971254721114
2025-12-19T04:28:29,rps-40,3,4.009356,1.001552,134.84690859569136,153.55281652323967,288.39972511893103
2025-12-19T04:28:30,rps-40,4,5.010819,1.001463,145.0602674692643,146.32568594082002,291.3859534100843
2025-12-19T04:28:31,rps-40,5,6.01229,1.001471,146.3105538208178,146.36735527699665,292.67790909781445
2025-12-19T04:28:32,rps-40,6,7.013767,1.001477,134.22212750401678,138.6967715745408,272.9188990785576
2025-12-19T04:28:33,rps-40,7,8.015231,1.001465,127.60916293962048,147.07084325886652,274.680006198487
2025-12-19T04:28:34,rps-40,8,9.016678,1.001447,124.95891294937115,147.99602161280572,272.95493456217685
2025-12-19T04:28:35,rps-40,9,10.017431,1.000753,139.24862011116622,150.44761709658644,289.6962372077527
2025-12-19T04:28:36,rps-40,10,11.018889,1.001458,135.2745392435945,147.40062825935033,282.6751675029448
2025-12-19T04:28:37,rps-40,11,12.020358,1.001469,135.99407515274885,151.34923167241715,287.343306825166
2025-12-19T04:28:38,rps-40,12,13.021818,1.00146,132.35545250659683,167.06328517968046,299.41873768627727
2025-12-19T04:28:39,rps-40,13,14.023308,1.00149,129.54658842668763,152.43515825689428,281.98174668358195
2025-12-19T04:28:40,rps-40,14,15.025331,1.002023,131.29475741894,130.69775999144187,261.9925174103819
2025-12-19T04:28:41,rps-40,15,16.02689,1.001559,126.93364875524632,141.31420376688493,268.24785252213127
2025-12-19T04:28:42,rps-40,16,17.028348,1.001458,123.88943584787525,149.75393190004905,273.6433677479243
2025-12-19T04:28:43,rps-40,17,18.029799,1.00145,125.00240997772443,143.71637011727918,268.7187800950036
2025-12-19T04:28:44,rps-40,18,19.03126,1.001462,125.94305243275126,143.1800772002754,269.1231296330267
2025-12-19T04:28:45,rps-40,19,20.032726,1.001466,126.29520481408001,131.3930653831883,257.6882701972683
2025-12-19T04:28:46,rps-40,20,21.034191,1.001465,133.1316679083374,144.36963304534373,277.50130095368115
