hostname,timestamp,rps,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w,input_size
intel-worker1,2025-12-19 03:00:00,10,25,26.052299,1.002033,95.85720661,91.54225885,187.3994655,563135
intel-worker1,2025-12-19 03:00:00,10,26,27.054189,1.001889,91.95005139,90.77289559,182.722947,563135
intel-worker1,2025-12-19 03:00:00,10,27,28.056195,1.002006,104.9850224,97.41368467,202.398707,563135
intel-worker1,2025-12-19 03:00:00,10,28,29.05826,1.002065,105.1943756,97.98223524,203.1766108,563135
intel-worker1,2025-12-19 03:00:00,10,29,30.060253,1.001993,99.90912719,102.8075791,202.7167063,563135
intel-worker1,2025-12-19 03:00:00,10,30,31.062256,1.002003,96.81895005,100.3393558,197.1583059,563135
intel-worker1,2025-12-19 03:00:00,10,31,32.064298,1.002042,100.0300352,103.0822045,203.1122396,563135
intel-worker1,2025-12-19 03:00:00,10,32,33.066328,1.00203,97.42164644,100.969247,198.3908935,563135
intel-worker1,2025-12-19 03:00:00,10,33,34.068302,1.001974,96.38804777,95.5912216,191.9792694,563135
intel-worker1,2025-12-19 03:00:00,10,34,35.070344,1.002043,98.1807407,91.30844359,189.4891843,563135
intel-worker1,2025-12-19 03:00:00,10,35,36.071799,1.001455,98.79071629,94.27940648,193.0701228,563135
intel-worker1,2025-12-19 03:00:00,10,36,37.073841,1.002042,96.30366756,95.31886535,191.6225329,563135
intel-worker1,2025-12-19 03:00:00,10,37,38.075873,1.002032,95.62891906,96.12345714,191.7523762,563135
intel-worker1,2025-12-19 03:00:00,10,38,39.077881,1.002008,95.9013039,94.95191922,190.8532231,563135
intel-worker1,2025-12-19 03:00:00,10,39,40.079852,1.001971,96.46857083,98.45062167,194.9191925,563135
intel-worker1,2025-12-19 03:00:00,10,40,41.081779,1.001927,98.1819978,99.50604119,197.688039,563135
intel-worker1,2025-12-19 03:00:00,10,41,42.083742,1.001963,101.0663119,97.00568952,198.0720014,563135
intel-worker1,2025-12-19 03:00:00,10,42,43.085864,1.002122,94.84953414,95.91976967,190.7693038,563135
intel-worker1,2025-12-19 03:00:00,10,43,44.087882,1.002018,93.75965138,94.06451617,187.8241676,563135
intel-worker1,2025-12-19 03:00:00,10,44,45.089966,1.002084,95.72715981,97.34457448,193.0717343,563135
intel-worker1,2025-12-19 03:00:00,10,45,46.091985,1.002019,93.14081834,92.05219819,185.1930165,563135
intel-worker1,2025-12-19 03:00:00,10,46,47.093999,1.002014,94.69268193,93.03476944,187.7274514,563135
intel-worker1,2025-12-19 03:00:00,10,47,48.096042,1.002043,97.05744279,96.34503425,193.402477,563135
intel-worker1,2025-12-19 03:00:00,10,48,49.098011,1.001969,104.4103745,99.05350246,203.463877,563135
intel-worker1,2025-12-19 03:00:00,10,49,50.099995,1.001985,102.5914214,100.6907805,203.2822019,563135
intel-worker1,2025-12-19 03:00:00,10,50,51.101534,1.001539,108.2636388,97.80587718,206.0695159,563135
intel-worker1,2025-12-19 03:00:00,10,51,52.103103,1.00157,96.38070856,95.40762882,191.7883374,563135
intel-worker1,2025-12-19 03:00:00,10,52,53.105566,1.002463,100.3214879,100.0784964,200.3999843,563135
intel-worker1,2025-12-19 03:00:00,10,53,54.107007,1.00144,101.0246476,97.72703606,198.7516836,563135
intel-worker1,2025-12-19 03:00:00,10,54,55.108303,1.001297,99.06009358,94.05945002,193.1195436,563135
intel-worker1,2025-12-19 03:00:00,10,55,56.110342,1.002039,97.59497145,95.31520026,192.9101717,563135
intel-worker1,2025-12-19 03:00:00,10,56,57.112401,1.002059,97.62399886,96.86396975,194.4879686,563135
intel-worker1,2025-12-19 03:00:00,10,57,58.114424,1.002024,96.36894047,94.73406996,191.1030104,563135
intel-worker1,2025-12-19 03:00:00,10,58,59.116439,1.002015,98.37681044,95.96383072,194.3406412,563135
intel-worker1,2025-12-19 03:00:00,10,59,60.118462,1.002023,99.2186445,93.87619418,193.0948387,563135
,,,,,,,,,
intel-manager,19/12/2025 03:20,20,0,1.004627,1.004627,113.1491083,127.7409216,240.8900298,563135
intel-manager,19/12/2025 03:20,20,1,2.006128,1.001501,101.7380138,111.1902911,212.9283049,563135
intel-manager,19/12/2025 03:20,20,2,3.007524,1.001396,98.25197464,123.1673813,221.4193559,563135
intel-manager,19/12/2025 03:20,20,3,4.008858,1.001334,107.1574421,122.6590627,229.8165048,563135
intel-manager,19/12/2025 03:20,20,4,5.010292,1.001434,100.2799676,115.20945,215.4894176,563135
intel-manager,19/12/2025 03:20,20,5,6.012062,1.00177,105.3051087,128.213771,233.5188797,563135
intel-manager,19/12/2025 03:20,20,6,7.013463,1.0014,107.3009302,113.2821007,220.5830309,563135
intel-manager,19/12/2025 03:20,20,7,8.014876,1.001414,100.1663774,131.3083716,231.4747491,563135
intel-manager,19/12/2025 03:20,20,8,9.016626,1.001749,102.4231705,116.8636331,219.2868036,563135
intel-manager,19/12/2025 03:20,20,9,10.018033,1.001407,105.0041717,123.9048901,228.9090618,563135
intel-manager,19/12/2025 03:20,20,10,11.019967,1.001934,100.9153317,123.7435087,224.6588404,563135
intel-manager,19/12/2025 03:20,20,11,12.021396,1.00143,112.389276,122.6778869,235.0671629,563135
intel-manager,19/12/2025 03:20,20,12,13.022887,1.001491,103.0435763,127.6230078,230.666584,563135
intel-manager,19/12/2025 03:20,20,13,14.024282,1.001395,99.71595131,122.9035824,222.6195337,563135
intel-manager,19/12/2025 03:20,20,14,15.025686,1.001404,104.2423985,129.1566456,233.3990441,563135
intel-manager,19/12/2025 03:20,20,15,16.027115,1.001429,101.3641594,119.3245915,220.6887509,563135
intel-manager,19/12/2025 03:20,20,16,17.028858,1.001744,100.811276,127.7330174,228.5442934,563135
intel-manager,19/12/2025 03:20,20,17,18.030474,1.001615,110.1511384,128.6310671,238.7822055,563135
intel-manager,19/12/2025 03:20,20,18,19.031912,1.001439,101.9329295,122.1843225,224.117252,563135
intel-manager,19/12/2025 03:21,20,19,20.033348,1.001436,106.6024343,126.8204909,233.4229251,563135
intel-manager,19/12/2025 03:21,20,20,21.035281,1.001934,111.2552976,132.5464106,243.8017082,563135
intel-manager,19/12/2025 03:21,20,21,22.036686,1.001405,108.1661952,122.003595,230.1697902,563135
intel-manager,19/12/2025 03:21,20,22,23.03835,1.001664,107.0646816,118.5819258,225.6466074,563135
intel-manager,19/12/2025 03:21,20,23,24.039775,1.001425,105.155874,123.0807289,228.2366029,563135
intel-manager,19/12/2025 03:21,20,24,25.04179,1.002015,108.4130675,118.3893348,226.8024023,563135
intel-manager,19/12/2025 03:21,20,25,26.044042,1.002251,106.4550016,130.7924197,237.2474213,563135
intel-manager,19/12/2025 03:21,20,26,27.045654,1.001612,104.4613259,131.1227417,235.5840676,563135
intel-manager,19/12/2025 03:21,20,27,28.047287,1.001633,108.7758079,118.8328431,227.608651,563135
intel-manager,19/12/2025 03:21,20,28,29.048812,1.001525,99.93933733,109.2155683,209.1549057,563135
intel-manager,19/12/2025 03:21,20,29,30.050374,1.001561,100.098356,121.8733276,221.9716836,563135
intel-manager,19/12/2025 03:21,20,30,31.052098,1.001724,96.74535349,125.9640633,222.7094168,563135
intel-manager,19/12/2025 03:21,20,31,32.053524,1.001426,99.94356749,113.7416624,213.6852299,563135
intel-manager,19/12/2025 03:21,20,32,33.055473,1.001949,106.0505705,126.3616958,232.4122664,563135
intel-manager,19/12/2025 03:21,20,33,34.056874,1.0014,104.8710152,132.3199363,237.1909516,563135
intel-manager,19/12/2025 03:21,20,34,35.058901,1.002028,94.21752142,114.1286945,208.346216,563135
